# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	m.region4x ()	m.region4y ()	m.region4z ()	roundness ()	size (m)	Cell_size (m)
0	-0.017548079	-0.4829173	0	-2.2638701e-17	-2.5847685e-17	3.9269907	4.712389	0.7853982	-0.7267024	-0.67290616	0	-0.018996362	-0.99287593	0	0.67599726	0.72372544	0	-0.00033626286	-0.9996784	0	0.66	1e-07	2e-09
0	-0.4253952	-0.48008022	0	-2.264829e-17	-2.584768e-17	3.9269907	4.712389	2.3561945	-0.7190693	-0.6810984	0	-0.28074437	-0.9539894	0	-0.69592345	0.70470506	0	-0.0002576692	-0.99967813	0	0.66	1e-07	2e-09
0	-0.45533407	-0.811923	0	-2.2615331e-17	-2.5847717e-17	3.9269907	4.712389	3.9269907	-0.72755414	-0.67206526	0	-0.33480865	-0.93629616	0	-0.7538273	-0.64271116	0	0.0005045081	-0.99967957	0	0.66	1e-07	2e-09
0	-0.0036758096	-0.82839364	0	-2.2602877e-17	-2.5847723e-17	3.9269907	4.712389	5.497787	-0.7389596	-0.65946895	0	-0.009789944	-0.99227846	0	0.7336191	-0.66543305	0	0.00040726317	-0.9996799	0	0.66	1e-07	2e-09
0	0.6421462	-0.27939796	0	-2.2558363e-17	-2.5847738e-17	5.497787	0	0.7853982	0.7849599	-0.60389555	0	0.9867316	-0.110645145	0	0.7951872	0.59122205	0	-0.0012230359	-0.99968046	0	0.66	1e-07	2e-09
0	0.29544222	-0.25585175	0	-2.2426246e-17	-2.58477e-17	5.497787	0	2.3561945	0.75295484	-0.6430845	0	0.968528	-0.22137971	0	-0.53453	0.8337819	0	-0.001496135	-0.999679	0	0.66	1e-07	2e-09
0	0.30693558	-0.59710354	0	-2.2423275e-17	-2.5847793e-17	5.497787	0	3.9269907	0.776187	-0.6149926	0	0.9908212	0.06224955	0	-0.53495896	-0.8334711	0	-0.0006173291	-0.9996826	0	0.66	1e-07	2e-09
0	0.6465645	-0.53989464	0	-2.2557602e-17	-2.5847794e-17	5.497787	0	5.497787	0.7943006	-0.59163314	0	0.9925031	0.021411795	0	0.79709595	-0.58867943	0	-0.0005948113	-0.9996827	0	0.66	1e-07	2e-09
0	0.44206482	0.0016571188	0	-2.2476772e-17	-2.5847834e-17	5.497787	1.5707964	0.7853982	0.80079144	-0.5834559	0	0.18343051	0.97582644	0	0.777736	0.61367565	0	-0.00057393016	-0.99968415	0	0.66	1e-07	2e-09
0	-0.29614317	-0.33336306	0	-2.2586812e-17	-2.5847745e-17	5.497787	1.5707964	2.3561945	0.5615593	-0.81642854	0	-0.9819982	-0.14771107	0	-0.76816493	0.62565565	0	0.00021239296	-0.99968076	0	0.66	1e-07	2e-09
0	-0.043821175	-0.35952172	0	-2.2507738e-17	-2.5847859e-17	5.497787	1.5707964	3.9269907	0.7378711	-0.660935	0	-0.24902874	0.9621698	0	-0.6660657	-0.73295504	0	0.00035987698	-0.99968517	0	0.66	1e-07	2e-09
0	0.4068853	-0.33054334	0	-2.252523e-17	-2.5847872e-17	5.497787	1.5707964	5.497787	0.7929098	-0.5940265	0	0.13332513	0.9839567	0	0.6944697	-0.70609075	0	0.00016723594	-0.9996856	0	0.66	1e-07	2e-09
0	0.056071825	-0.31095153	0	-2.2498403e-17	-2.5847745e-17	5.497787	3.1415927	0.7853982	0.5816958	-0.80206597	0	-0.9640357	-0.23884796	0	0.5958077	0.7907431	0	0.00027140504	-0.9996807	0	0.66	1e-07	2e-09
0	-0.29615715	-0.33344907	0	-2.2586812e-17	-2.5847745e-17	5.497787	3.1415927	2.3561945	0.56139517	-0.8165425	0	-0.9819531	-0.1480205	0	-0.76810104	0.6257337	0	0.00021231787	-0.9996807	0	0.66	1e-07	2e-09
0	-0.29809853	-0.6151218	0	-2.2584926e-17	-2.5847775e-17	5.497787	3.1415927	3.9269907	0.5671371	-0.8125443	0	-0.99232143	-0.025254954	0	-0.7719699	-0.6209932	0	0.00088515197	-0.9996819	0	0.66	1e-07	2e-09
0	0.053758375	-0.64577895	0	-2.2493837e-17	-2.5847784e-17	5.497787	3.1415927	5.497787	0.5964343	-0.7911244	0	-0.99248254	-0.0013301125	0	0.5991759	-0.78813064	0	0.0011327718	-0.9996823	0	0.66	1e-07	2e-09
0	0.34082	-0.5132706	0	-2.256807e-17	-2.5847688e-17	5.497787	4.712389	0.7853982	0.60390306	-0.7849647	0	0.066308066	-0.9906874	0	0.68757296	0.7127985	0	-0.00054207054	-0.9996785	0	0.66	1e-07	2e-09
0	-0.09871094	-0.5139488	0	-2.2558428e-17	-2.584768e-17	5.497787	4.712389	2.3561945	0.5383498	-0.83180207	0	-0.25987327	-0.9595944	0	-0.6735086	0.72614837	0	-0.00042817078	-0.99967825	0	0.66	1e-07	2e-09
0	-0.14647731	-0.8541934	0	-2.2513988e-17	-2.5847723e-17	5.497787	4.712389	3.9269907	0.5165377	-0.84571725	0	-0.3491492	-0.931332	0	-0.75421476	-0.6422272	0	0.00036965177	-0.99967986	0	0.66	1e-07	2e-09
0	0.36546752	-0.8508502	0	-2.2521931e-17	-2.5847728e-17	5.497787	4.712389	5.497787	0.5995197	-0.78829396	0	0.0912932	-0.98845285	0	0.7646258	-0.6297821	0	0.00016182207	-0.9996801	0	0.66	1e-07	2e-09
