# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	a4 (rad)	a5 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	m.region4x ()	m.region4y ()	m.region4z ()	m.region5x ()	m.region5y ()	m.region5z ()	roundness ()	size (m)	Cell_size (m)
0	0.43835455	0.22352892	0	-2.1854155e-17	-2.6037699e-17	1.5707964	0	1.5707964	1.5707964	4.712389	0.9889581	0.06472844	0	0.98996484	0.048160046	0	-0.000834588	0.9996045	0	0.08291731	0.9876773	0	0.13076726	-0.9825258	0	0.66	100	1e-09
0	0.38873535	0.2752374	0	-2.200841e-17	-2.6037695e-17	1.5707964	0	1.5707964	3.1415927	0	0.98385525	0.12112798	0	0.96436566	0.23274833	0	-0.0007486111	0.9996044	0	-0.97607344	-0.17458357	0	0.97227776	0.19729006	0	0.66	100	1e-09
0	0.21616225	0.4125427	0	-2.2038315e-17	-2.6037708e-17	1.5707964	0	1.5707964	3.1415927	1.5707964	0.9849822	0.11119883	0	0.9810599	0.14447537	0	-0.00052226137	0.9996048	0	-0.97511256	-0.18007033	0	0.09040385	0.9875049	0	0.66	100	1e-09
0	0.0056384583	0.22758257	0	-2.1942638e-17	-2.6037717e-17	1.5707964	0	1.5707964	3.1415927	3.1415927	0.9838819	0.12066224	0	0.9907808	-0.022512816	0	-0.0004661937	0.99960524	0	-0.9768296	-0.17025276	0	-0.9691746	0.210411	0	0.66	100	1e-09
0	0.2221202	0.01050353	0	-2.1894832e-17	-2.6037699e-17	1.5707964	0	1.5707964	3.1415927	4.712389	0.98195636	0.13597922	0	0.9890898	0.06377048	0	-0.0007851397	0.9996047	0	-0.97805226	-0.16281621	0	0.11839201	-0.9840204	0	0.66	100	1e-09
0	0.60186887	0.0777104	0	-2.2092315e-17	-2.6037689e-17	1.5707964	0	1.5707964	4.712389	0	0.9899379	-0.055432893	0	0.9647772	0.23120536	0	-0.000564759	0.9996042	0	0.083695985	-0.9880693	0	0.97149825	0.20124455	0	0.66	100	1e-09
0	0.4292416	0.21612401	0	-2.2120462e-17	-2.6037702e-17	1.5707964	0	1.5707964	4.712389	1.5707964	0.9894392	-0.063680865	0	0.98078406	0.14671211	0	-0.00034247982	0.99960464	0	0.0764583	-0.98863924	0	0.099868834	0.98662335	0	0.66	100	1e-09
0	0.21601702	0.03164253	0	-2.2018244e-17	-2.6037708e-17	1.5707964	0	1.5707964	4.712389	3.1415927	0.98962	-0.06003976	0	0.9909575	-0.014281612	0	-0.00028251504	0.999605	0	0.06639316	-0.9893404	0	-0.96660304	0.22226942	0	0.66	100	1e-09
0	0.4381654	-0.18935291	0	-2.1972202e-17	-2.6037699e-17	1.5707964	0	1.5707964	4.712389	4.712389	0.99029285	-0.047599304	0	0.98860127	0.07164627	0	-0.00060136005	0.9996045	0	0.07651481	-0.9886291	0	0.13601954	-0.98178685	0	0.66	100	1e-09
0	0.6366561	0.3359143	0	-2.2053232e-17	-2.6037637e-17	1.5707964	1.5707964	1.5707964	0	0	0.96679914	-0.22403304	0	0.2556234	0.95926446	0	-0.000323715	0.99960214	0	0.97658974	-0.17404065	0	0.984592	0.11877877	0	0.66	100	1e-09
