# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	a4 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	m.region4x ()	m.region4y ()	m.region4z ()	roundness ()	size (m)	Cell_size (m)
0	0.5493225	-0.2790136	0	3.2063349e-18	-0	0.7853982	4.712389	1.5707964	5.497787	0.7515585	0.6451052	0	-0.094647415	-0.98836046	0	0.992196	0.050026786	0	0.54621094	-0.8265544	0	0.66	100	2e-09
0	0.08997191	0.19077966	0	3.3412712e-18	-0	0.7853982	4.712389	3.1415927	0.7853982	0.8162828	0.56211364	0	0.09564421	-0.9877733	0	-0.9561644	0.26828203	0	0.39392442	0.90970165	0	0.66	100	2e-09
0	-9.511727e-05	0.29156432	0	3.1035411e-18	-0	0.7853982	4.712389	3.1415927	2.3561945	0.80315673	0.5803986	0	-8.4066065e-05	-0.992717	0	-0.00040139214	0.99231654	0	-0.80305463	0.5805383	0	0.66	100	2e-09
0	-0.00010830399	3.567118e-05	0	3.1088247e-18	-0	0.7853982	4.712389	3.1415927	3.9269907	0.8116767	0.568471	0	-0.16388717	-0.9792882	0	0.16350935	0.9793501	0	-0.8117337	-0.56839013	0	0.66	100	2e-09
0	0.06101757	-0.28171542	0	3.4267828e-18	-0	0.7853982	4.712389	3.1415927	5.497787	0.8393266	0.5274631	0	-0.22440565	-0.9675918	0	-0.9874835	0.09521639	0	0.60355514	-0.7849781	0	0.66	100	2e-09
0	0.4485733	-0.14831571	0	3.3760171e-18	-0	0.7853982	4.712389	4.712389	0.7853982	0.72637284	0.67319167	0	0.1680233	-0.9779569	0	0.16802329	-0.9779569	0	0.72637296	0.6731917	0	0.66	100	2e-09
0	2.1140563e-08	-0.16270132	0	3.3678425e-18	-0	0.7853982	4.712389	4.712389	2.3561945	0.74021536	0.6580197	0	3.0724426e-08	-0.9926201	0	8.638247e-08	-0.9904765	0	-0.74021536	0.65801966	0	0.66	100	2e-09
0	0.21728563	-0.1923587	0	3.1334028e-18	-0	0.7853982	4.712389	4.712389	3.9269907	0.76568544	0.62835306	0	-0.14169219	-0.98274374	0	0.954728	0.27681375	0	-0.70586824	-0.695007	0	0.66	100	2e-09
0	0.54962695	-0.27910492	0	3.2063344e-18	-0	0.7853982	4.712389	4.712389	5.497787	0.7514186	0.6452673	0	-0.09413832	-0.9884078	0	0.9922458	0.049002193	0	0.5470096	-0.8260187	0	0.66	100	2e-09
0	0.28672	0.5115794	0	3.1629416e-18	-0	2.3561945	0	0	0.7853982	-0.6786669	0.7217175	0	0.045050815	0.9913786	0	0.9669978	-0.22852299	0	0.81779826	0.5591925	0	0.66	100	2e-09
0	0.18940543	0.4611981	0	3.3336946e-18	-0	2.3561945	0	0	2.3561945	-0.59731656	0.79042083	0	0.9839169	0.12871584	0	0.98391676	0.12871587	0	-0.59731656	0.7904208	0	0.66	100	2e-09
0	0.16230406	-3.87577e-08	0	3.3697421e-18	-0	2.3561945	0	0	3.9269907	-0.6595596	0.73889726	0	0.99196225	-2.6740945e-09	0	0.9926477	-1.1843473e-07	0	-0.6595596	-0.73889744	0	0.66	100	2e-09
0	0.21714027	0.19218265	0	3.1334026e-18	-0	2.3561945	0	0	5.497787	-0.7059485	0.6949257	0	-0.14200753	0.98269933	0	0.95457834	-0.277348	0	0.76564735	-0.62839955	0	0.66	100	2e-09
0	0.23450533	0.73726314	0	3.314523e-18	-0	2.3561945	0	1.5707964	0.7853982	-0.6319295	0.7623383	0	0.91142815	0.39686736	0	0.07818265	0.9899328	0	0.58544403	0.7990535	0	0.66	100	2e-09
0	-0.065437086	0.66348666	0	3.2992062e-18	-0	2.3561945	0	1.5707964	2.3561945	-0.6024786	0.7859417	0	0.9871992	0.09947067	0	-0.016515981	0.9927584	0	-0.6191533	0.7734745	0	0.66	100	2e-09
