# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)	Cell_size (m)
0	0.70189726	0.7018818	0	8.779924e-19	-3.0429807e-20	0.7853982	0.937	100	1e-09
0	0.99191755	-4.7129975e-09	0	8.704973e-19	-3.0408226e-20	0	0.936	100	1e-09
0	0.7018921	0.7018778	0	8.779922e-19	-3.042961e-20	0.7853982	0.936	100	1e-09
0	0.9919172	2.5314864e-09	0	8.704973e-19	-3.0408216e-20	0	0.935	100	1e-09
0	0.7018943	0.7018759	0	8.779922e-19	-3.0429616e-20	0.7853982	0.935	100	1e-09
0	0.9919175	7.295036e-09	0	8.704972e-19	-3.0408226e-20	0	0.934	100	1e-09
0	0.70189667	0.701882	0	8.779922e-19	-3.0429803e-20	0.7853982	0.934	100	1e-09
0	0.9919175	-7.0228334e-09	0	8.704974e-19	-3.0408226e-20	0	0.933	100	1e-09
0	0.7018971	0.70188224	0	8.779921e-19	-3.042982e-20	0.7853982	0.933	100	1e-09
0	0.9919175	1.860701e-08	0	8.704974e-19	-3.0408226e-20	0	0.932	100	1e-09
0	0.7018966	0.70188355	0	8.779922e-19	-3.0429832e-20	0.7853982	0.932	100	1e-09
0	0.99191743	6.3189947e-09	0	8.704975e-19	-3.0408226e-20	0	0.931	100	1e-09
0	0.70189166	0.7018785	0	8.779922e-19	-3.0429616e-20	0.7853982	0.931	100	1e-09
0	0.9918945	2.9467553e-09	0	8.697193e-19	-3.037578e-20	0	0.93	100	1e-09
0	0.7019207	0.70190537	0	8.777948e-19	-3.0399065e-20	0.7853982	0.93	100	1e-09
0	0.9918799	-3.5070724e-11	0	8.690121e-19	-3.0343596e-20	0	0.929	100	1e-09
0	0.7019697	0.7019525	0	8.778161e-19	-3.0369377e-20	0.7853982	0.929	100	1e-09
0	0.99188966	-1.560331e-11	0	8.685446e-19	-3.0312153e-20	0	0.928	100	1e-09
0	0.70195556	0.7019388	0	8.770374e-19	-3.0337004e-20	0.7853982	0.928	100	1e-09
0	0.9918893	-4.169985e-09	0	8.685443e-19	-3.0312137e-20	0	0.927	100	1e-09
0	0.70195585	0.70193976	0	8.770372e-19	-3.0337036e-20	0.7853982	0.927	100	1e-09
0	0.9918897	-1.3282317e-09	0	8.685445e-19	-3.0312153e-20	0	0.926	100	1e-09
0	0.7019558	0.70194036	0	8.770374e-19	-3.0337046e-20	0.7853982	0.926	100	1e-09
0	0.99201465	3.4480412e-09	0	8.693163e-19	-3.0284226e-20	0	0.925	100	1e-09
0	0.70201576	0.702002	0	8.775269e-19	-3.0307904e-20	0.7853982	0.925	100	1e-09
0	0.992001	6.3208754e-09	0	8.68611e-19	-3.0252063e-20	0	0.924	100	1e-09
0	0.702063	0.7020501	0	8.775844e-19	-3.027819e-20	0.7853982	0.924	100	1e-09
0	0.99199504	6.280558e-09	0	8.680039e-19	-3.022014e-20	0	0.923	100	1e-09
0	0.70212865	0.70211697	0	8.777314e-19	-3.0249278e-20	0.7853982	0.923	100	1e-09
0	0.9919439	2.5109474e-09	0	8.668745e-19	-3.018684e-20	0	0.922	100	1e-09
0	0.70218676	0.7021717	0	8.776816e-19	-3.0219935e-20	0.7853982	0.922	100	1e-09
0	0.9918029	8.263157e-10	0	8.641978e-19	-3.011907e-20	0	0.921	100	1e-09
0	0.7022309	0.7022162	0	8.765404e-19	-3.0158278e-20	0.7853982	0.921	100	1e-09
0	0.9918029	5.8882357e-09	0	8.6419793e-19	-3.011907e-20	0	0.92	100	1e-09
0	0.70222783	0.7022107	0	8.765404e-19	-3.0158094e-20	0.7853982	0.92	100	1e-09
