# t (s)	mx ()	my ()	mz ()	E_total (J)	Angle (rad)	Length (nm)
0	-0.91243845	0.40921423	0	1.1800238e-18	2.72	100
0	-0.9164848	0.40006948	0	1.1800238e-18	2.73	100
0	-0.92043954	0.39088482	0	1.1800238e-18	2.74	100
0	-0.92430246	0.381661	0	1.1800237e-18	2.75	100
0	-0.92807275	0.37239906	0	1.1800238e-18	2.76	100
0	-0.9317503	0.36309984	0	1.1800237e-18	2.77	100
0	-0.9353347	0.3537644	0	1.1800238e-18	2.78	100
0	-0.9388255	0.3443935	0	1.1800237e-18	2.79	100
0	-0.94222236	0.33498818	0	1.1800236e-18	2.8	100
0	-0.9455251	0.3255493	0	1.1800237e-18	2.81	100
0	-0.9487332	0.31607798	0	1.1800236e-18	2.82	100
0	-0.9518466	0.30657506	0	1.1800238e-18	2.83	100
0	-0.95486474	0.2970414	0	1.1800236e-18	2.84	100
0	-0.9577874	0.28747803	0	1.1800241e-18	2.85	100
0	-0.96061414	0.27788594	0	1.1800236e-18	2.86	100
0	-0.9633448	0.26826605	0	1.1800238e-18	2.87	100
0	-0.9659795	0.25861937	0	1.1800237e-18	2.88	100
0	-0.96851707	0.24894677	0	1.1800235e-18	2.89	100
0	-0.97095823	0.23924929	0	1.1800238e-18	2.9	100
0	-0.9733021	0.22952795	0	1.1800237e-18	2.91	100
0	-0.9755486	0.21978365	0	1.1800238e-18	2.92	100
0	-0.97769773	0.21001728	0	1.1800236e-18	2.93	100
0	-0.97974914	0.20023	0	1.1800238e-18	2.94	100
0	-0.98170227	0.19042264	0	1.1800236e-18	2.95	100
0	-0.98355734	0.18059629	0	1.1800238e-18	2.96	100
0	-0.9853141	0.17075182	0	1.1800238e-18	2.97	100
0	-0.9869726	0.16089031	0	1.1800239e-18	2.98	100
0	-0.9885318	0.1510127	0	1.1800234e-18	2.99	100
0	-0.9899925	0.14112	0	1.1800238e-18	3	100
0	-0.9913541	0.13121319	0	1.1800238e-18	3.01	100
0	-0.9926168	0.12129325	0	1.1800236e-18	3.02	100
0	-0.99377996	0.11136118	0	1.1800237e-18	3.03	100
0	-0.99484384	0.10141799	0	1.1800237e-18	3.04	100
0	-0.9958086	0.091464646	0	1.1800239e-18	3.05	100
0	-0.9966732	0.08150216	0	1.1800235e-18	3.06	100
0	-0.9974384	0.07153152	0	1.180024e-18	3.07	100
0	-0.9981039	0.06155371	0	1.1800239e-18	3.08	100
0	-0.99866945	0.05156977	0	1.1800237e-18	3.09	100
0	-0.9991351	0.041580662	0	1.1800235e-18	3.1	100
0	-0.999501	0.0315874	0	1.1800236e-18	3.11	100
0	-0.999767	0.021590974	0	1.1800237e-18	3.12	100
0	-0.9999328	0.011592394	0	1.1800237e-18	3.13	100
0	-0.9999986	0.0015926528	0	1.1800239e-18	3.14	100
0	-0.99996465	-0.008407248	0	1.1800239e-18	3.15	100
0	-0.99983054	-0.018406307	0	1.1800237e-18	3.16	100
0	-0.9995965	-0.028403528	0	1.1800237e-18	3.17	100
0	-0.9992627	-0.03839791	0	1.1800238e-18	3.18	100
0	-0.99882853	-0.048388444	0	1.1800238e-18	3.19	100
0	-0.9982947	-0.058374144	0	1.1800238e-18	3.2	100
0	-0.99766123	-0.068354	0	1.1800241e-18	3.21	100
0	-0.99692774	-0.07832703	0	1.1800237e-18	3.22	100
0	-0.9960945	-0.08829223	0	1.1800238e-18	3.23	100
0	-0.9951619	-0.09824859	0	1.1800236e-18	3.24	100
0	-0.9941299	-0.10819514	0	1.180024e-18	3.25	100
0	-0.99299806	-0.11813086	0	1.1800238e-18	3.26	100
0	-0.9917671	-0.12805477	0	1.1800236e-18	3.27	100
0	-0.99043703	-0.13796589	0	1.1800235e-18	3.28	100
0	-0.98900783	-0.14786316	0	1.1800238e-18	3.29	100
0	-0.9874798	-0.15774569	0	1.1800239e-18	3.3	100
0	-0.98585296	-0.16761243	0	1.1800235e-18	3.31	100
0	-0.9841275	-0.1774624	0	1.1800237e-18	3.32	100
0	-0.9823039	-0.18729468	0	1.1800237e-18	3.33	100
0	-0.98038185	-0.19710822	0	1.1800239e-18	3.34	100
0	-0.9783616	-0.20690198	0	1.1800235e-18	3.35	100
0	-0.97624385	-0.21667507	0	1.1800238e-18	3.36	100
0	-0.97402835	-0.22642656	0	1.1800238e-18	3.37	100
0	-0.97171533	-0.23615527	0	1.1800237e-18	3.38	100
0	-0.96930516	-0.2458605	0	1.1800237e-18	3.39	100
0	-0.96679825	-0.25554115	0	1.1800234e-18	3.4	100
0	-0.9641944	-0.26519614	0	1.1800236e-18	3.41	100
0	-0.96149427	-0.27482468	0	1.1800237e-18	3.42	100
0	-0.95869815	-0.28442568	0	1.1800238e-18	3.43	100
0	-0.9558058	-0.2939983	0	1.1800238e-18	3.44	100
0	-0.95281816	-0.3035415	0	1.1800235e-18	3.45	100
0	-0.9497352	-0.31305438	0	1.1800235e-18	3.46	100
0	-0.9465572	-0.3225359	0	1.1800236e-18	3.47	100
0	-0.9432847	-0.33198524	0	1.1800238e-18	3.48	100
