# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)
0	0.99584866	-1.1088239e-08	0	6.301952e-19	-1.5917645e-20	0	0.5	85
0	0.7019001	0.7018848	0	6.374081e-19	-1.5866132e-20	0.7853982	0.5	85
0	0.9968229	-1.151999e-08	0	6.242283e-19	-1.4848676e-20	0	0.45	85
0	0.69477177	0.694747	0	6.034487e-19	-1.4635888e-20	0.7853982	0.45	85
0	0.9974871	-1.728169e-08	0	6.1166377e-19	-1.3661584e-20	0	0.4	85
0	0.6847682	0.6847491	0	5.58101e-19	-1.32631375e-20	0.7853982	0.4	85
0	0.99826354	-1.8349443e-08	0	6.0109556e-19	-1.245833e-20	0	0.35	85
0	0.6729252	0.6729131	0	5.080015e-19	-1.1876609e-20	0.7853982	0.35	85
0	0.9990003	-1.0955153e-08	0	5.8874565e-19	-1.1060932e-20	0	0.3	85
0	0.6572091	0.6572028	0	4.441345e-19	-1.0290644e-20	0.7853982	0.3	85
0	-0.6363368	0.64512426	0	3.8971322e-19	6.0528364e-21	0	0.25	85
0	0.6421892	0.64194244	0	3.7453303e-19	-8.63707e-21	0.7853982	0.25	85
0	0.9998123	-7.5731235e-09	0	5.422854e-19	-7.902518e-21	0	0.2	85
0	0.624697	0.6246963	0	3.0298977e-19	-6.982825e-21	0.7853982	0.2	85
0	0.9999452	-3.002723e-09	0	4.975034e-19	-6.111665e-21	0	0.15	85
0	0.6081819	0.6081817	0	2.3002802e-19	-5.2569242e-21	0.7853982	0.15	85
0	0.995621	-1.6926936e-08	0	6.8743693e-19	-2.0008001e-20	0	1	80
0	0.70346504	0.703457	0	6.826285e-19	-1.9992387e-20	0.7853982	1	80
0	0.99539	-1.083529e-08	0	6.7881124e-19	-1.9684832e-20	0	0.95	80
0	0.70385766	0.70385015	0	6.7970046e-19	-1.9685028e-20	0.7853982	0.95	80
0	0.9949638	-1.11096226e-08	0	6.6636383e-19	-1.9246583e-20	0	0.9	80
0	0.7044897	0.70448345	0	6.7642876e-19	-1.927232e-20	0.7853982	0.9	80
0	0.99495953	-1.3694388e-08	0	6.568443e-19	-1.8784837e-20	0	0.85	80
0	0.7049488	0.70494187	0	6.7110854e-19	-1.8822288e-20	0.7853982	0.85	80
0	0.99478763	-1.18875345e-08	0	6.45579e-19	-1.8288178e-20	0	0.8	80
0	0.7055663	0.70556194	0	6.663876e-19	-1.8343893e-20	0.7853982	0.8	80
0	0.99459344	-1.4847366e-08	0	6.3090135e-19	-1.7632153e-20	0	0.75	80
0	0.7062748	0.70627177	0	6.587127e-19	-1.7707103e-20	0.7853982	0.75	80
0	0.9947353	-1.14894885e-08	0	6.2236304e-19	-1.7109447e-20	0	0.7	80
0	0.706736	0.70673406	0	6.5236297e-19	-1.7190959e-20	0.7853982	0.7	80
0	0.9951609	-1.1903635e-08	0	6.1508163e-19	-1.6463943e-20	0	0.65	80
0	0.7070241	0.707023	0	6.438097e-19	-1.6542053e-20	0.7853982	0.65	80
0	0.995416	-1.7085862e-08	0	6.0514616e-19	-1.5751466e-20	0	0.6	80
0	0.7066811	0.7066777	0	6.3131644e-19	-1.5814438e-20	0.7853982	0.6	80
0	0.99590653	-1.6603131e-08	0	5.956409e-19	-1.4962502e-20	0	0.55	80
0	0.7053128	0.70530313	0	6.1379505e-19	-1.498578e-20	0.7853982	0.55	80
0	0.9965195	-1.5763108e-08	0	5.873114e-19	-1.412666e-20	0	0.5	80
0	0.70218873	0.7021797	0	5.9170266e-19	-1.4077313e-20	0.7853982	0.5	80
0	0.997271	-2.0529786e-08	0	5.7922237e-19	-1.314802e-20	0	0.45	80
0	0.6952732	0.6952558	0	5.586557e-19	-1.2963202e-20	0.7853982	0.45	80
0	0.9978376	-1.08633955e-08	0	5.6961503e-19	-1.2181602e-20	0	0.4	80
0	0.6863962	0.6863791	0	5.204269e-19	-1.185029e-20	0.7853982	0.4	80
0	0.998591	-1.734066e-08	0	5.587155e-19	-1.10404224e-20	0	0.35	80
0	0.67442083	0.67440915	0	4.7123947e-19	-1.0544845e-20	0.7853982	0.35	80
0	0.9992551	-1.6376644e-08	0	5.4642543e-19	-9.768718e-21	0	0.3	80
0	0.6586041	0.6585988	0	4.115338e-19	-9.1053966e-21	0.7853982	0.3	80
0	0.99953055	-1.2473637e-08	0	5.2398557e-19	-8.444035e-21	0	0.25	80
0	0.64583826	0.64583534	0	3.5074497e-19	-7.715992e-21	0.7853982	0.25	80
0	0.99978095	-9.038062e-09	0	4.9538446e-19	-7.038458e-21	0	0.2	80
0	0.6321149	0.6321133	0	2.8846169e-19	-6.2933686e-21	0.7853982	0.2	80
0	0.99993336	-2.9505498e-09	0	4.563836e-19	-5.4716358e-21	0	0.15	80
0	0.6164635	0.61646295	0	2.2039018e-19	-4.7705477e-21	0.7853982	0.15	80
0	0.9965101	-1.7269647e-08	0	6.370399e-19	-1.755452e-20	0	1	75
0	0.70392716	0.70392215	0	6.309095e-19	-1.7536727e-20	0.7853982	1	75
0	0.9961927	-9.295947e-09	0	6.2626976e-19	-1.7182335e-20	0	0.95	75
0	0.704299	0.7042933	0	6.258356e-19	-1.7179443e-20	0.7853982	0.95	75
0	0.9959392	-1.11776295e-08	0	6.1760024e-19	-1.6875194e-20	0	0.9	75
0	0.70468664	0.70468104	0	6.225577e-19	-1.688594e-20	0.7853982	0.9	75
0	0.9959096	-9.190494e-09	0	6.080586e-19	-1.644446e-20	0	0.85	75
0	0.7051428	0.7051378	0	6.1729915e-19	-1.6466079e-20	0.7853982	0.85	75
0	0.9957605	-1.6529816e-08	0	5.974267e-19	-1.5979966e-20	0	0.8	75
0	0.70581836	0.7058152	0	6.1323893e-19	-1.6018724e-20	0.7853982	0.8	75
0	0.9956866	-1.488583e-08	0	5.8647953e-19	-1.5484918e-20	0	0.75	75
0	0.70630634	0.7063038	0	6.0637834e-19	-1.5534366e-20	0.7853982	0.75	75
0	0.99568975	-1.3930208e-08	0	5.761971e-19	-1.4975174e-20	0	0.7	75
0	0.7067505	0.7067491	0	5.992579e-19	-1.5032407e-20	0.7853982	0.7	75
0	0.99599457	-1.5499428e-08	0	5.6955624e-19	-1.4437937e-20	0	0.65	75
0	0.7070283	0.7070277	0	5.922791e-19	-1.4494385e-20	0.7853982	0.65	75
0	0.996268	-1.2205171e-08	0	5.589856e-19	-1.378835e-20	0	0.6	75
0	0.7068424	0.7068404	0	5.797145e-19	-1.3834806e-20	0.7853982	0.6	75
0	0.9965698	-1.1284374e-08	0	5.5005226e-19	-1.3138776e-20	0	0.55	75
0	0.70574117	0.7057355	0	5.6535975e-19	-1.3158485e-20	0.7853982	0.55	75
0	0.9970483	-1.3978251e-08	0	5.395765e-19	-1.23634e-20	0	0.5	75
0	0.70332915	0.7033201	0	5.443352e-19	-1.2333674e-20	0.7853982	0.5	75
0	0.997782	-1.727274e-08	0	5.3342753e-19	-1.1510413e-20	0	0.45	75
0	0.6973655	0.6973485	0	5.1616644e-19	-1.1376937e-20	0.7853982	0.45	75
0	0.99827373	-1.9352827e-08	0	5.2290667e-19	-1.066955e-20	0	0.4	75
0	0.69031495	0.69030195	0	4.841103e-19	-1.043409e-20	0.7853982	0.4	75
0	0.9989343	-1.1023724e-08	0	5.142576e-19	-9.685669e-21	0	0.35	75
0	0.6781311	0.6781212	0	4.4020453e-19	-9.298611e-21	0.7853982	0.35	75
0	0.9992906	-1.5822154e-08	0	4.9994403e-19	-8.6498616e-21	0	0.3	75
0	0.66542536	0.66541946	0	3.9128096e-19	-8.145724e-21	0.7853982	0.3	75
0	0.99963224	-9.038836e-09	0	4.7882983e-19	-7.437263e-21	0	0.25	75
0	0.6512606	0.65125734	0	3.326277e-19	-6.852382e-21	0.7853982	0.25	75
0	0.9998786	-7.351491e-09	0	4.5412557e-19	-6.1272564e-21	0	0.2	75
0	0.63307345	0.6330727	0	2.6803803e-19	-5.486402e-21	0.7853982	0.2	75
0	0.99993265	-3.3005316e-09	0	4.127609e-19	-4.7356817e-21	0	0.15	75
0	0.6188543	0.61885357	0	2.0786551e-19	-4.1449075e-21	0.7853982	0.15	75
0	0.99696636	-3.727418e-08	0	5.8719153e-19	-1.536126e-20	0	1	70
0	0.70450485	0.7045001	0	5.835528e-19	-1.5351256e-20	0.7853982	1	70
0	0.9967142	-9.232498e-09	0	5.789372e-19	-1.5086265e-20	0	0.95	70
0	0.7048351	0.7048336	0	5.80066e-19	-1.5087356e-20	0.7853982	0.95	70
