# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)	Cell_size (m)	Volume (m^3)
0	0.99387085	-2.0228577e-09	0	5.23158e-19	-2.126088e-19	0	0.65	91	1e-09	2.674e-23
0	0.7069155	0.70691335	0	5.613489e-19	-2.1386178e-19	0.7853982	0.65	91	1e-09	2.674e-23
0	0.9937532	1.2993335e-07	0	5.1588065e-19	-2.0844964e-19	0	0.65	90	1e-09	2.622e-23
0	0.70695287	0.7069504	0	5.5592984e-19	-2.0971396e-19	0.7853982	0.65	90	1e-09	2.622e-23
0	0.99412173	-1.5944709e-09	0	5.1243415e-19	-2.0327802e-19	0	0.65	89	1e-09	2.556e-23
0	0.7069339	0.70693165	0	5.4892595e-19	-2.0442966e-19	0.7853982	0.65	89	1e-09	2.556e-23
0	0.99412173	5.822623e-10	0	5.0739005e-19	-1.9946058e-19	0	0.65	88	1e-09	2.508e-23
0	0.70696825	0.7069664	0	5.4434574e-19	-2.0060042e-19	0.7853982	0.65	88	1e-09	2.508e-23
0	0.99435043	0.0008040161	0	5.005194e-19	-1.9338126e-19	0	0.65	87	1e-09	2.431e-23
0	0.70687276	0.70705163	0	5.3536163e-19	-1.9444025e-19	0.7853982	0.65	87	1e-09	2.431e-23
0	0.99456006	2.5250921e-09	0	4.9826754e-19	-1.901599e-19	0	0.65	86	1e-09	2.39e-23
0	0.7069834	0.70698196	0	5.31943e-19	-1.9116642e-19	0.7853982	0.65	86	1e-09	2.39e-23
0	0.99460196	1.2998546e-09	0	4.905287e-19	-1.853938e-19	0	0.65	85	1e-09	2.33e-23
0	0.7069606	0.70695883	0	5.2374223e-19	-1.8636125e-19	0.7853982	0.65	85	1e-09	2.33e-23
0	0.994711	2.9057918e-09	0	4.8654386e-19	-1.8159444e-19	0	0.65	84	1e-09	2.282e-23
0	0.70700073	0.7069993	0	5.194699e-19	-1.8253242e-19	0.7853982	0.65	84	1e-09	2.282e-23
0	0.99497825	-8.9366803e-10	0	4.819104e-19	-1.771857e-19	0	0.65	83	1e-09	2.226e-23
0	0.70696753	0.70696586	0	5.1205877e-19	-1.7804472e-19	0.7853982	0.65	83	1e-09	2.226e-23
0	0.9950107	2.2681657e-10	0	4.758566e-19	-1.7257464e-19	0	0.65	82	1e-09	2.168e-23
0	0.70702314	0.7070219	0	5.0675054e-19	-1.7341932e-19	0.7853982	0.65	82	1e-09	2.168e-23
0	0.99532	9.735754e-10	0	4.7189e-19	-1.6848776e-19	0	0.65	81	1e-09	2.116e-23
0	0.70698905	0.706988	0	4.99641e-19	-1.6925167e-19	0.7853982	0.65	81	1e-09	2.116e-23
0	0.9953777	8.052247e-10	0	4.6689e-19	-1.6467528e-19	0	0.65	80	1e-09	2.068e-23
0	0.7070256	0.70702463	0	4.949312e-19	-1.6542088e-19	0.7853982	0.65	80	1e-09	2.068e-23
0	0.9955436	6.0314225e-09	0	4.6072756e-19	-1.6056128e-19	0	0.65	79	1e-09	2.016e-23
0	0.70700365	0.70700276	0	4.8720235e-19	-1.6125637e-19	0.7853982	0.65	79	1e-09	2.016e-23
0	0.99560165	-2.001067e-08	0	4.556247e-19	-1.5690682e-19	0	0.65	78	1e-09	1.97e-23
0	0.7070326	0.7070317	0	4.8216074e-19	-1.5758337e-19	0.7853982	0.65	78	1e-09	1.97e-23
0	0.9957246	1.2716698e-09	0	4.483362e-19	-1.5214673e-19	0	0.65	77	1e-09	1.91e-23
0	0.70702684	0.7070261	0	4.738811e-19	-1.5278264e-19	0.7853982	0.65	77	1e-09	1.91e-23
0	0.9959539	6.2154575e-09	0	4.4600896e-19	-1.489947e-19	0	0.65	76	1e-09	1.87e-23
0	0.7070354	0.7070348	0	4.698981e-19	-1.4958483e-19	0.7853982	0.65	76	1e-09	1.87e-23
0	0.9961323	1.458525e-09	0	4.394593e-19	-1.4471809e-19	0	0.65	75	1e-09	1.816e-23
0	0.7070299	0.7070292	0	4.619539e-19	-1.4526412e-19	0.7853982	0.65	75	1e-09	1.816e-23
