# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Length (nm)
0	-0.20768325	0.9781838	0	-1.5623494e-16	-1.5719809e-16	1.78	100
0	-0.2174547	0.976058	0	-1.5623495e-16	-1.571981e-16	1.79	100
0	-0.22720441	0.97383463	0	-1.5623496e-16	-1.5719809e-16	1.8	100
0	-0.23693137	0.97151387	0	-1.5623496e-16	-1.5719807e-16	1.81	100
0	-0.24663463	0.9690959	0	-1.5623499e-16	-1.5719809e-16	1.82	100
0	-0.2563132	0.9665811	0	-1.5623499e-16	-1.5719807e-16	1.83	100
0	-0.26596615	0.9639696	0	-1.5623499e-16	-1.5719807e-16	1.84	100
0	-0.27559245	0.96126175	0	-1.56235e-16	-1.5719805e-16	1.85	100
0	-0.28519127	0.9584577	0	-1.5623502e-16	-1.5719807e-16	1.86	100
0	-0.29476148	0.9555578	0	-1.5623503e-16	-1.5719805e-16	1.87	100
0	-0.30430225	0.9525624	0	-1.5623504e-16	-1.5719803e-16	1.88	100
0	-0.31381258	0.9494717	0	-1.5623506e-16	-1.5719803e-16	1.89	100
0	-0.32329148	0.9462862	0	-1.5623506e-16	-1.5719801e-16	1.9	100
0	-0.332738	0.9430059	0	-1.5623508e-16	-1.5719804e-16	1.91	100
0	-0.34215134	0.93963134	0	-1.5623507e-16	-1.57198e-16	1.92	100
0	-0.35153043	0.9361628	0	-1.5623506e-16	-1.5719799e-16	1.93	100
0	-0.36087435	0.9326008	0	-1.562351e-16	-1.5719797e-16	1.94	100
0	-0.3701821	0.92894536	0	-1.562351e-16	-1.5719797e-16	1.95	100
0	-0.37945288	0.9251971	0	-1.5623512e-16	-1.5719797e-16	1.96	100
0	-0.38868573	0.9213563	0	-1.5623512e-16	-1.5719796e-16	1.97	100
0	-0.3978797	0.91742337	0	-1.5623513e-16	-1.5719795e-16	1.98	100
0	-0.4070338	0.9133988	0	-1.5623513e-16	-1.5719793e-16	1.99	100
0	-0.41614726	0.90928286	0	-1.5623516e-16	-1.5719793e-16	2	100
0	-0.42521903	0.90507597	0	-1.5623516e-16	-1.5719793e-16	2.01	100
0	-0.43424836	0.90077853	0	-1.5623519e-16	-1.5719793e-16	2.02	100
0	-0.4432342	0.89639103	0	-1.5623519e-16	-1.5719792e-16	2.03	100
0	-0.4521757	0.891914	0	-1.562352e-16	-1.571979e-16	2.04	100
0	-0.46107197	0.8873477	0	-1.5623521e-16	-1.5719789e-16	2.05	100
0	-0.46992218	0.8826926	0	-1.5623521e-16	-1.5719788e-16	2.06	100
0	-0.4787253	0.87794936	0	-1.5623521e-16	-1.5719787e-16	2.07	100
0	-0.4874806	0.87311834	0	-1.5623525e-16	-1.5719787e-16	2.08	100
0	-0.49618715	0.86819994	0	-1.5623524e-16	-1.5719787e-16	2.09	100
0	-0.504844	0.8631948	0	-1.5623525e-16	-1.5719787e-16	2.1	100
0	-0.51345044	0.85810333	0	-1.5623528e-16	-1.5719784e-16	2.11	100
0	-0.52200556	0.852926	0	-1.5623525e-16	-1.5719783e-16	2.12	100
0	-0.5305084	0.8476635	0	-1.5623527e-16	-1.5719783e-16	2.13	100
0	-0.5389582	0.8423162	0	-1.5623529e-16	-1.5719783e-16	2.14	100
0	-0.5473541	0.8368846	0	-1.562353e-16	-1.5719784e-16	2.15	100
0	-0.5556953	0.8313694	0	-1.562353e-16	-1.5719783e-16	2.16	100
0	-0.5639809	0.825771	0	-1.5623532e-16	-1.5719781e-16	2.17	100
0	-0.5722101	0.8200902	0	-1.5623533e-16	-1.5719783e-16	2.18	100
0	-0.58038205	0.8143271	0	-1.5623532e-16	-1.571978e-16	2.19	100
0	-0.588496	0.8084828	0	-1.5623535e-16	-1.5719781e-16	2.2	100
0	-0.59655094	0.8025577	0	-1.5623536e-16	-1.5719781e-16	2.21	100
0	-0.6045464	0.79655236	0	-1.5623533e-16	-1.5719779e-16	2.22	100
0	-0.6124814	0.79046714	0	-1.5623535e-16	-1.5719779e-16	2.23	100
