# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Length (nm)
0	-0.94220036	0.33497715	0	-1.01907705e-16	-1.0271752e-16	2.8	44.8
0	-0.9709346	0.23924091	0	-1.0190769e-16	-1.0271744e-16	2.9	44.8
0	-0.9899679	0.14111477	0	-1.0190776e-16	-1.0271744e-16	3	44.8
0	-0.9991099	0.041579086	0	-1.01907745e-16	-1.0271739e-16	3.1	44.8
0	-0.99826974	-0.05837193	0	-1.0190776e-16	-1.0271742e-16	3.2	44.8
0	-0.98745537	-0.15773991	0	-1.0190775e-16	-1.0271744e-16	3.3	44.8
0	-0.966775	-0.2555322	0	-1.0190771e-16	-1.0271746e-16	3.4	44.8
0	-0.93643504	-0.35077187	0	-1.0190769e-16	-1.0271751e-16	3.5	44.8
0	-0.8967383	-0.44250727	0	-1.0190767e-16	-1.0271754e-16	3.6	44.8
0	-0.84808123	-0.5298217	0	-1.0190764e-16	-1.0271758e-16	3.7	44.8
0	-0.7909501	-0.6118425	0	-1.0190762e-16	-1.02717594e-16	3.8	44.8
0	-0.7259156	-0.68775	0	-1.0190759e-16	-1.02717614e-16	3.9	44.8
0	-0.65362775	-0.75678545	0	-1.0190761e-16	-1.02717614e-16	4	44.8
0	-0.574809	-0.81825906	0	-1.01907606e-16	-1.0271758e-16	4.1	44.8
0	-0.49024692	-0.87155634	0	-1.0190764e-16	-1.02717555e-16	4.2	44.8
0	-0.4007868	-0.9161451	0	-1.01907665e-16	-1.0271751e-16	4.3	44.8
0	-0.30732256	-0.9515798	0	-1.019077e-16	-1.0271748e-16	4.4	44.8
0	-0.21078826	-0.97750634	0	-1.0190772e-16	-1.0271744e-16	4.5	44.8
0	-0.112148345	-0.9936661	0	-1.0190774e-16	-1.0271742e-16	4.6	44.8
0	-0.012388194	-0.9998981	0	-1.0190776e-16	-1.0271741e-16	4.7	44.8
0	0.0874957	-0.9961396	0	-1.0190775e-16	-1.0271742e-16	4.8	44.8
0	0.18650563	-0.98242855	0	-1.01907725e-16	-1.0271744e-16	4.9	44.8
0	0.28365245	-0.95890146	0	-1.01907705e-16	-1.0271747e-16	5	44.8
0	0.37796578	-0.9257934	0	-1.01907685e-16	-1.0271752e-16	5.1	44.8
0	0.46850315	-0.88343495	0	-1.01907646e-16	-1.02717555e-16	5.2	44.8
0	0.55435956	-0.83224905	0	-1.01907626e-16	-1.0271758e-16	5.3	44.8
0	0.63467723	-0.7727472	0	-1.019076e-16	-1.027176e-16	5.4	44.8
0	0.70865333	-0.70552397	0	-1.0190759e-16	-1.02717614e-16	5.5	44.8
0	0.7755485	-0.63125104	0	-1.019076e-16	-1.027176e-16	5.6	44.8
0	0.8346944	-0.5506708	0	-1.01907626e-16	-1.02717594e-16	5.7	44.8
0	0.8854998	-0.46458864	0	-1.01907646e-16	-1.02717555e-16	5.8	44.8
0	0.92745715	-0.3738648	0	-1.01907665e-16	-1.0271749e-16	5.9	44.8
0	0.9601474	-0.2794059	0	-1.019077e-16	-1.0271746e-16	6	44.8
0	0.9832443	-0.18215588	0	-1.01907725e-16	-1.0271743e-16	6.1	44.8
0	0.996517	-0.08308628	0	-1.0190776e-16	-1.0271742e-16	6.2	44.8
0	0.9999748	-7.9184215e-11	0	-1.0174772e-16	-1.0255742e-16	0	44.7
0	0.9949792	0.099830054	0	-1.0174769e-16	-1.0255741e-16	0.1	44.7
0	0.98004246	0.19866286	0	-1.01747695e-16	-1.0255745e-16	0.2	44.7
0	0.9553135	0.29551104	0	-1.0174767e-16	-1.0255747e-16	0.3	44.7
0	0.92103946	0.38940695	0	-1.0174766e-16	-1.0255751e-16	0.4	44.7
0	0.87756234	0.4794124	0	-1.0174763e-16	-1.02557525e-16	0.5	44.7
0	0.8253167	0.564628	0	-1.0174761e-16	-1.0255755e-16	0.6	44.7
0	0.76482445	0.64420193	0	-1.01747596e-16	-1.02557565e-16	0.7	44.7
0	0.69669014	0.7173392	0	-1.0174759e-16	-1.02557565e-16	0.8	44.7
0	0.62159455	0.7833088	0	-1.0174759e-16	-1.0255757e-16	0.9	44.7
0	0.54028815	0.8414516	0	-1.0174762e-16	-1.02557545e-16	1	44.7
0	0.45358348	0.8911867	0	-1.01747636e-16	-1.0255751e-16	1.1	44.7
0	0.36234698	0.93201715	0	-1.01747656e-16	-1.0255749e-16	1.2	44.7
0	0.26749042	0.9635349	0	-1.0174769e-16	-1.0255745e-16	1.3	44.7
0	0.16996153	0.98542523	0	-1.01747676e-16	-1.0255743e-16	1.4	44.7
0	0.070734814	0.99746996	0	-1.01747695e-16	-1.0255742e-16	1.5	44.7
0	-0.029198531	0.9995485	0	-1.0174771e-16	-1.0255742e-16	1.6	44.7
0	-0.1288402	0.9916401	0	-1.0174769e-16	-1.0255743e-16	1.7	44.7
0	-0.2271948	0.97382385	0	-1.0174768e-16	-1.0255745e-16	1.8	44.7
0	-0.32327965	0.94627756	0	-1.01747656e-16	-1.0255748e-16	1.9	44.7
0	-0.41613492	0.9092761	0	-1.0174764e-16	-1.0255751e-16	2	44.7
0	-0.5048325	0.8631896	0	-1.01747616e-16	-1.0255753e-16	2.1	44.7
0	-0.5884862	0.80847776	0	-1.01747616e-16	-1.02557565e-16	2.2	44.7
0	-0.6662599	0.74568784	0	-1.017476e-16	-1.0255757e-16	2.3	44.7
0	-0.7373765	0.6754469	0	-1.017476e-16	-1.02557585e-16	2.4	44.7
0	-0.80112517	0.59845716	0	-1.0174761e-16	-1.02557565e-16	2.5	44.7
0	-0.8568691	0.51548755	0	-1.01747616e-16	-1.0255753e-16	2.6	44.7
0	-0.9040511	0.42736775	0	-1.0174763e-16	-1.025575e-16	2.7	44.7
0	-0.9421999	0.33497804	0	-1.0174764e-16	-1.0255746e-16	2.8	44.7
0	-0.9709345	0.23924169	0	-1.0174768e-16	-1.0255744e-16	2.9	44.7
0	-0.98996794	0.14111531	0	-1.0174771e-16	-1.0255744e-16	3	44.7
0	-0.9991099	0.041579254	0	-1.01747676e-16	-1.02557386e-16	3.1	44.7
0	-0.9982696	-0.058372166	0	-1.01747695e-16	-1.0255741e-16	3.2	44.7
0	-0.9874551	-0.15774049	0	-1.01747695e-16	-1.0255743e-16	3.3	44.7
0	-0.9667747	-0.25553298	0	-1.0174768e-16	-1.0255745e-16	3.4	44.7
0	-0.9364344	-0.35077274	0	-1.0174765e-16	-1.0255748e-16	3.5	44.7
0	-0.89673764	-0.44250798	0	-1.0174764e-16	-1.02557525e-16	3.6	44.7
0	-0.8480805	-0.5298222	0	-1.01747616e-16	-1.0255755e-16	3.7	44.7
0	-0.7909495	-0.6118426	0	-1.017476e-16	-1.0255755e-16	3.8	44.7
0	-0.7259152	-0.6877497	0	-1.0174761e-16	-1.02557585e-16	3.9	44.7
0	-0.65362775	-0.7567849	0	-1.01747596e-16	-1.02557565e-16	4	44.7
0	-0.5748093	-0.8182582	0	-1.0174761e-16	-1.0255755e-16	4.1	44.7
0	-0.49024758	-0.8715556	0	-1.0174762e-16	-1.0255753e-16	4.2	44.7
0	-0.4007876	-0.91614443	0	-1.0174764e-16	-1.025575e-16	4.3	44.7
0	-0.30732343	-0.9515792	0	-1.0174766e-16	-1.0255747e-16	4.4	44.7
0	-0.21078898	-0.9775061	0	-1.0174768e-16	-1.0255744e-16	4.5	44.7
0	-0.11214878	-0.9936662	0	-1.01747695e-16	-1.0255742e-16	4.6	44.7
0	-0.012388242	-0.99989814	0	-1.017477e-16	-1.0255741e-16	4.7	44.7
0	0.08749602	-0.9961395	0	-1.0174769e-16	-1.0255741e-16	4.8	44.7
0	0.18650627	-0.9824284	0	-1.0174768e-16	-1.0255743e-16	4.9	44.7
0	0.2836533	-0.95890105	0	-1.01747676e-16	-1.0255747e-16	5	44.7
0	0.37796664	-0.9257929	0	-1.01747656e-16	-1.0255749e-16	5.1	44.7
0	0.46850377	-0.8834342	0	-1.01747616e-16	-1.02557525e-16	5.2	44.7
0	0.55436	-0.83224833	0	-1.01747616e-16	-1.0255755e-16	5.3	44.7
0	0.6346773	-0.7727466	0	-1.01747596e-16	-1.0255757e-16	5.4	44.7
0	0.70865303	-0.7055236	0	-1.0174759e-16	-1.0255757e-16	5.5	44.7
0	0.775548	-0.63125104	0	-1.0174759e-16	-1.0255755e-16	5.6	44.7
0	0.8346937	-0.5506712	0	-1.0174763e-16	-1.0255755e-16	5.7	44.7
0	0.885499	-0.46458933	0	-1.01747636e-16	-1.02557545e-16	5.8	44.7
0	0.9274566	-0.37386563	0	-1.0174765e-16	-1.0255749e-16	5.9	44.7
0	0.9601471	-0.27940673	0	-1.0174766e-16	-1.0255745e-16	6	44.7
0	0.98324406	-0.18215652	0	-1.0174772e-16	-1.0255747e-16	6.1	44.7
0	0.9965171	-0.0830866	0	-1.0174769e-16	-1.0255741e-16	6.2	44.7
0	0.9999748	-5.14879e-11	0	-1.0174771e-16	-1.0255742e-16	0	44.6
0	0.9949793	0.099830054	0	-1.0174769e-16	-1.0255741e-16	0.1	44.6
0	0.98004246	0.19866286	0	-1.0174769e-16	-1.0255744e-16	0.2	44.6
0	0.9553135	0.29551104	0	-1.0174767e-16	-1.0255747e-16	0.3	44.6
0	0.92103934	0.38940695	0	-1.0174767e-16	-1.0255753e-16	0.4	44.6
0	0.8775622	0.4794124	0	-1.0174761e-16	-1.0255751e-16	0.5	44.6
0	0.8253167	0.564628	0	-1.0174761e-16	-1.0255755e-16	0.6	44.6
0	0.76482445	0.6442018	0	-1.01747596e-16	-1.0255757e-16	0.7	44.6
