# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)
0	0.9984544	-1.4503797e-08	0	4.6599054e-19	-9.585163e-21	0	0.54	64
0	0.70547223	0.7054713	0	4.6871564e-19	-9.577803e-21	0.7853982	0.54	64
0	0.99868286	-1.6174603e-08	0	4.6589195e-19	-9.3956085e-21	0	0.53	64
0	0.70440084	0.7043977	0	4.6366994e-19	-9.371977e-21	0.7853982	0.53	64
0	0.99860555	-1.9853228e-08	0	4.6124496e-19	-9.26706e-21	0	0.52	64
0	0.70421463	0.7042113	0	4.593879e-19	-9.242023e-21	0.7853982	0.52	64
0	0.9984865	-1.6184172e-08	0	4.5432073e-19	-9.1381486e-21	0	0.51	64
0	0.70426136	0.704259	0	4.5358134e-19	-9.115156e-21	0.7853982	0.51	64
0	0.9985395	-1.0964507e-08	0	4.527419e-19	-9.010821e-21	0	0.5	64
0	0.703541	0.7035376	0	4.497613e-19	-8.978473e-21	0.7853982	0.5	64
0	0.9984371	-1.195309e-08	0	4.483844e-19	-8.882097e-21	0	0.49	64
0	0.70291775	0.70291066	0	4.443516e-19	-8.843254e-21	0.7853982	0.49	64
0	0.9984371	-1.2582905e-08	0	4.483844e-19	-8.8820966e-21	0	0.48	64
0	0.70291775	0.7029107	0	4.443516e-19	-8.843255e-21	0.7853982	0.48	64
0	0.99861246	-6.797975e-09	0	4.4889194e-19	-8.755835e-21	0	0.47	64
0	0.70173216	0.70172673	0	4.4061435e-19	-8.701323e-21	0.7853982	0.47	64
0	0.99861234	-4.7857744e-09	0	4.488919e-19	-8.7558344e-21	0	0.46	64
0	0.70173216	0.70172685	0	4.4061435e-19	-8.701323e-21	0.7853982	0.46	64
0	0.9988373	-1.4659444e-08	0	4.4462824e-19	-8.374253e-21	0	0.45	64
0	0.698343	0.6983334	0	4.2612165e-19	-8.280033e-21	0.7853982	0.45	64
0	0.9990811	-9.513818e-09	0	4.480491e-19	-8.312354e-21	0	0.44	64
0	0.6968251	0.69681567	0	4.2422917e-19	-8.198967e-21	0.7853982	0.44	64
0	0.9990811	-1.096095e-08	0	4.480491e-19	-8.312354e-21	0	0.43	64
0	0.6968252	0.69681615	0	4.242292e-19	-8.1989714e-21	0.7853982	0.43	64
0	0.9990794	-1.4784746e-08	0	4.456173e-19	-8.184458e-21	0	0.42	64
0	0.6955838	0.6955755	0	4.189664e-19	-8.0584565e-21	0.7853982	0.42	64
