# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	E_custom (J)	Angle_bias (rad)	Field_bias (T)	Field_ext (T)	Angle_ext (rad)
0	-0.4003078	0.91589326	0	-1.2512922e-17	-1.5916973e-21	-1.2910235e-17	1.9880391	0.1	0.0003	1.1780972
0	-0.4226519	0.90580976	0	-1.2581607e-17	-1.5506598e-21	-1.2979025e-17	2.0125828	0.1	0.0003	1.1780972
0	-0.44476938	0.8951676	0	-1.265723e-17	-1.5086361e-21	-1.3054753e-17	2.0371265	0.1	0.0003	1.1780972
0	-0.466644	0.883972	0	-1.2740126e-17	-1.4656517e-21	-1.3137753e-17	2.06167	0.1	0.0003	1.1780972
0	-0.4882629	0.87222725	0	-1.2830569e-17	-1.4217263e-21	-1.32283e-17	2.0862138	0.1	0.0003	1.1780972
0	-0.5096152	0.8599363	0	-1.2928789e-17	-1.3768763e-21	-1.3326622e-17	2.1107576	0.1	0.0003	1.1780972
0	-0.53068054	0.84710836	0	-1.3035124e-17	-1.3311386e-21	-1.3433057e-17	2.1353014	0.1	0.0003	1.1780972
0	-0.5514427	0.8337507	0	-1.314984e-17	-1.284544e-21	-1.35478685e-17	2.1598449	0.1	0.0003	1.1780972
0	-0.5718829	0.81987375	0	-1.3273213e-17	-1.2371301e-21	-1.3671334e-17	2.1843886	0.1	0.0003	1.1780972
0	-0.5920034	0.8054733	0	-1.3405235e-17	-1.1888866e-21	-1.3803445e-17	2.2089324	0.1	0.0003	1.1780972
0	-0.6117702	0.7905715	0	-1.3546329e-17	-1.1398895e-21	-1.3944624e-17	2.233476	0.1	0.0003	1.1780972
0	-0.631176	0.7751722	0	-1.3696571e-17	-1.0901547e-21	-1.4094944e-17	2.2580197	0.1	0.0003	1.1780972
0	-0.6502053	0.7592859	0	-1.3856106e-17	-1.0397171e-21	-1.4254554e-17	2.2825634	0.1	0.0003	1.1780972
0	-0.6688413	0.7429257	0	-1.4025076e-17	-9.886195e-22	-1.4423591e-17	2.3071072	0.1	0.0003	1.1780972
0	-0.687069	0.7261038	0	-1.4203578e-17	-9.369012e-22	-1.4602156e-17	2.3316507	0.1	0.0003	1.1780972
