# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	E_custom (J)	Angle_bias (rad)	Field_bias (T)	Field_ext (T)	Angle_ext (rad)
0	-0.99527407	-0.00371292	0	-8.825564e-17	9.942746e-20	-8.917706e-17	3.2397673	0.1	0.01	1.1780972
0	-0.9949295	-0.026450012	0	-8.952972e-17	1.0482808e-19	-9.045664e-17	3.264311	0.1	0.01	1.1780972
0	-0.9940748	-0.049243245	0	-9.0801786e-17	1.1019164e-19	-9.173434e-17	3.2888548	0.1	0.01	1.1780972
0	-0.99270445	-0.07210221	0	-9.207067e-17	1.1551983e-19	-9.300901e-17	3.3133986	0.1	0.01	1.1780972
0	-0.9908161	-0.09498027	0	-9.3335196e-17	1.2080133e-19	-9.4279465e-17	3.3379421	0.1	0.01	1.1780972
0	-0.9883982	-0.11794365	0	-9.4594165e-17	1.2605081e-19	-9.55445e-17	3.362486	0.1	0.01	1.1780972
0	-0.9854459	-0.14095862	0	-9.5846324e-17	1.312597e-19	-9.6802876e-17	3.3870296	0.1	0.01	1.1780972
0	-0.9819509	-0.16402747	0	-9.709042e-17	1.364277e-19	-9.8053315e-17	3.4115732	0.1	0.01	1.1780972
0	-0.9778923	-0.187212	0	-9.8325014e-17	1.415676e-19	-9.929441e-17	3.436117	0.1	0.01	1.1780972
0	-0.97327244	-0.21042989	0	-9.954883e-17	1.4665986e-19	-1.0052485e-16	3.4606607	0.1	0.01	1.1780972
0	-0.96806794	-0.23373796	0	-1.0076032e-16	1.5171581e-19	-1.017431e-16	3.4852045	0.1	0.01	1.1780972
0	-0.9622551	-0.2571666	0	-1.0195783e-16	1.5674036e-19	-1.0294751e-16	3.509748	0.1	0.01	1.1780972
0	-0.95582646	-0.28067324	0	-1.031398e-16	1.6172259e-19	-1.041365e-16	3.5342917	0.1	0.01	1.1780972
0	-0.9487486	-0.3043061	0	-1.0430427e-16	1.6667066e-19	-1.053081e-16	3.5588355	0.1	0.01	1.1780972
0	-0.94101614	-0.3280102	0	-1.0544953e-16	1.71571e-19	-1.064606e-16	3.583379	0.1	0.01	1.1780972
0	-0.9326081	-0.35178083	0	-1.06573626e-16	1.7642032e-19	-1.0759201e-16	3.6079228	0.1	0.01	1.1780972
0	-0.92342025	-0.3758222	0	-1.07672916e-16	1.8125718e-19	-1.0869874e-16	3.6324666	0.1	0.01	1.1780972
0	-0.9134892	-0.39993927	0	-1.0874602e-16	1.8603854e-19	-1.09779315e-16	3.6570103	0.1	0.01	1.1780972
0	-0.9027836	-0.42412978	0	-1.0979033e-16	1.9076074e-19	-1.10831105e-16	3.6815538	0.1	0.01	1.1780972
0	-0.8911959	-0.44854042	0	-1.108013e-16	1.9544826e-19	-1.1184959e-16	3.7060976	0.1	0.01	1.1780972
0	-0.8787094	-0.4730947	0	-1.1177607e-16	2.0008112e-19	-1.1283183e-16	3.7306414	0.1	0.01	1.1780972
0	-0.86522305	-0.4978747	0	-1.127094e-16	2.0466894e-19	-1.1377258e-16	3.755185	0.1	0.01	1.1780972
0	-0.8507763	-0.5226931	0	-1.1359943e-16	2.0917082e-19	-1.1466988e-16	3.7797287	0.1	0.01	1.1780972
0	-0.83529025	-0.54757977	0	-1.1444111e-16	2.1358616e-19	-1.1551863e-16	3.8042724	0.1	0.01	1.1780972
0	-0.818788	-0.57239354	0	-1.1523211e-16	2.1788343e-19	-1.1631638e-16	3.828816	0.1	0.01	1.1780972
0	-0.8011067	-0.5972696	0	-1.1596442e-16	2.220789e-19	-1.1705508e-16	3.8533597	0.1	0.01	1.1780972
0	-0.78230965	-0.62200373	0	-1.1663666e-16	2.2612998e-19	-1.1773328e-16	3.8779035	0.1	0.01	1.1780972
0	-0.7624089	-0.6464877	0	-1.1724626e-16	2.300119e-19	-1.1834825e-16	3.9024472	0.1	0.01	1.1780972
0	-0.74146503	-0.6705716	0	-1.1779265e-16	2.33695e-19	-1.1889938e-16	3.9269907	0.1	0.01	1.1780972
0	-0.71953475	-0.6941358	0	-1.182757e-16	2.3715622e-19	-1.1938644e-16	3.9515345	0.1	0.01	1.1780972
0	-0.6967366	-0.7170211	0	-1.1869817e-16	2.4036915e-19	-1.1981216e-16	3.9760783	0.1	0.01	1.1780972
0	-0.6731986	-0.73909295	0	-1.1906411e-16	2.4331443e-19	-1.2018054e-16	4.000622	0.1	0.01	1.1780972
0	-0.6490503	-0.7602466	0	-1.1937838e-16	2.4597986e-19	-1.2049647e-16	4.0251656	0.1	0.01	1.1780972
0	-0.6244633	-0.78037006	0	-1.1964831e-16	2.483556e-19	-1.2076731e-16	4.0497093	0.1	0.01	1.1780972
0	-0.59984803	-0.79920644	0	-1.1989234e-16	2.504209e-19	-1.2101157e-16	4.074253	0.1	0.01	1.1780972
