# t (s)	mx ()	my ()	mz ()	E_total (J)	Angle (rad)
0	-0.9926168	0.121293254	0	9.677387e-19	3.02
0	-0.99377996	0.11136119	0	9.676501e-19	3.03
0	-0.99484384	0.10141799	0	9.67569e-19	3.04
0	-0.9958085	0.091464646	0	9.674951e-19	3.05
0	-0.99667317	0.081502154	0	9.674283e-19	3.06
0	-0.99743843	0.07153152	0	9.673693e-19	3.07
0	-0.9981038	0.061553713	0	9.673174e-19	3.08
0	-0.9986694	0.051569764	0	9.672732e-19	3.09
0	-0.9991352	0.041580662	0	9.672365e-19	3.1
0	-0.999501	0.0315874	0	9.672081e-19	3.11
0	-0.99976695	0.021590974	0	9.671872e-19	3.12
0	-0.9999329	0.011592393	0	9.671741e-19	3.13
0	-0.99999887	0.0015926529	0	9.671689e-19	3.14
0	-0.99996465	-0.008407248	0	9.671717e-19	3.15
0	-0.9998306	-0.018406307	0	9.671821e-19	3.16
0	-0.9995966	-0.028403528	0	9.672008e-19	3.17
0	-0.99926263	-0.03839791	0	9.672268e-19	3.18
0	-0.99882865	-0.048388448	0	9.672605e-19	3.19
0	-0.9982948	-0.058374148	0	9.673024e-19	3.2
0	-0.9976613	-0.06835401	0	9.673518e-19	3.21
0	-0.9969278	-0.07832703	0	9.674083e-19	3.22
0	-0.9960947	-0.08829223	0	9.674729e-19	3.23
0	-0.9951619	-0.09824859	0	9.675446e-19	3.24
0	-0.99412984	-0.10819514	0	9.676238e-19	3.25
0	-0.992998	-0.11813085	0	9.677095e-19	3.26
0	-0.9917671	-0.12805477	0	9.678028e-19	3.27
0	-0.990437	-0.13796587	0	9.679025e-19	3.28
0	-0.98900783	-0.1478632	0	9.680092e-19	3.29
0	-0.98747987	-0.1577457	0	9.681227e-19	3.3
0	-0.985853	-0.16761243	0	9.682416e-19	3.31
0	-0.9841275	-0.17746243	0	9.683675e-19	3.32
0	-0.98230374	-0.18729468	0	9.684993e-19	3.33
0	-0.98038185	-0.19710821	0	9.686366e-19	3.34
0	-0.97836167	-0.20690197	0	9.687793e-19	3.35
0	-0.9762438	-0.21667507	0	9.689274e-19	3.36
0	-0.9740284	-0.22642656	0	9.690807e-19	3.37
0	-0.9717153	-0.2361553	0	9.692383e-19	3.38
0	-0.96930516	-0.2458605	0	9.69401e-19	3.39
0	-0.96679825	-0.25554112	0	9.695676e-19	3.4
0	-0.9641945	-0.26519614	0	9.697385e-19	3.41
0	-0.9614943	-0.27482468	0	9.699129e-19	3.42
