# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	roundness ()	size (m)	Cell_size (m)	var1-d (nm)	var2-Msat (kA/m)
0	-0.4437202	0.6107926	0	-1.7424674e-17	-1.9388227e-17	3.1415927	0	1.5707964	-0.9876571	-0.10141156	0	-0.3408449	0.93398374	0	-0.0026585725	0.9998054	0	0.66	100	2e-09	-100	600
0	-0.44372618	0.61079955	0	-1.7424674e-17	-1.9388225e-17	3.1415927	1.5707964	1.5707964	-0.9876599	-0.101384856	0	-0.34086025	0.9339783	0	-0.002658544	0.9998054	0	0.66	100	2e-09	-100	600
0	-0.5673186	0.53146654	0	-1.7425413e-17	-1.9388285e-17	3.1415927	3.1415927	1.5707964	-0.9908198	-0.062085383	0	-0.70974845	0.6566765	0	-0.001387505	0.9998086	0	0.66	100	2e-09	-100	600
0	-0.56731755	0.5314654	0	-1.7425413e-17	-1.9388285e-17	3.1415927	4.712389	1.5707964	-0.9908195	-0.06209198	0	-0.70974565	0.6566797	0	-0.0013875181	0.99980843	0	0.66	100	2e-09	-100	600
0	-0.0703613	0.33107376	0	-1.7424604e-17	-1.938824e-17	4.712389	0	1.5707964	-0.07360598	-0.9902637	0	-0.13527471	0.9836791	0	-0.0022032312	0.9998061	0	0.66	100	2e-09	-100	600
0	-0.07026209	0.33107302	0	-1.7424604e-17	-1.938824e-17	4.712389	1.5707964	1.5707964	-0.07340282	-0.9902784	0	-0.13518007	0.9836915	0	-0.002203382	0.99980605	0	0.66	100	2e-09	-100	600
0	-0.070697844	0.33107832	0	-1.7424603e-17	-1.9388238e-17	4.712389	3.1415927	1.5707964	-0.07432216	-0.9902117	0	-0.13556856	0.9836408	0	-0.0022028147	0.99980605	0	0.66	100	2e-09	-100	600
0	-0.070695706	0.3310762	0	-1.7424604e-17	-1.938824e-17	4.712389	4.712389	1.5707964	-0.074286684	-0.9902143	0	-0.13559772	0.9836369	0	-0.002202708	0.9998059	0	0.66	100	2e-09	-100	600
0	0.33905393	0.6214488	0	-2.0456415e-17	-2.2617949e-17	0	0	1.5707964	0.9848438	-0.12593696	0	0.034970917	0.9905509	0	-0.0026529473	0.9997326	0	0.66	100	2e-09	-100	700
0	0.33904934	0.6214377	0	-2.0456418e-17	-2.261795e-17	0	1.5707964	1.5707964	0.98483974	-0.12597062	0	0.034961175	0.99055135	0	-0.002652902	0.9997325	0	0.66	100	2e-09	-100	700
0	0.33894837	0.6213649	0	-2.0456418e-17	-2.2617949e-17	0	3.1415927	1.5707964	0.98481107	-0.12620038	0	0.03468609	0.9905625	0	-0.002652041	0.9997326	0	0.66	100	2e-09	-100	700
0	0.30632594	0.051728785	0	-2.0075513e-17	-2.2618028e-17	0	4.712389	1.5707964	0.9828194	0.1406004	0	-0.06792363	-0.98515	0	0.0040819934	0.999736	0	0.66	100	2e-09	-100	700
0	-0.09090235	0.9883525	0	-2.0440796e-17	-2.2617892e-17	1.5707964	0	1.5707964	-0.10631836	0.98693055	0	-0.16296798	0.9783967	0	-0.0034207169	0.9997301	0	0.66	100	2e-09	-100	700
0	-0.09090421	0.98835224	0	-2.0440798e-17	-2.2617892e-17	1.5707964	1.5707964	1.5707964	-0.106322564	0.98693	0	-0.16296935	0.9783965	0	-0.0034207148	0.9997301	0	0.66	100	2e-09	-100	700
0	-0.33870307	0.87643737	0	-2.0413944e-17	-2.261796e-17	1.5707964	3.1415927	1.5707964	-0.3384449	0.9349185	0	-0.6757403	0.6946603	0	-0.0019240931	0.9997332	0	0.66	100	2e-09	-100	700
0	-0.3386998	0.8764427	0	-2.0413946e-17	-2.2617963e-17	1.5707964	4.712389	1.5707964	-0.33845	0.93491673	0	-0.67572534	0.6946783	0	-0.001924172	0.9997332	0	0.66	100	2e-09	-100	700
0	-0.44420692	0.61085457	0	-2.0511032e-17	-2.2617915e-17	3.1415927	0	1.5707964	-0.98774445	-0.10059727	0	-0.3422182	0.93342996	0	-0.0026581648	0.999731	0	0.66	100	2e-09	-100	700
0	-0.44422168	0.6108592	0	-2.0511035e-17	-2.2617912e-17	3.1415927	1.5707964	1.5707964	-0.9877472	-0.10056834	0	-0.34225982	0.93341494	0	-0.0026580605	0.99973106	0	0.66	100	2e-09	-100	700
0	-0.56139386	0.5367881	0	-2.0510436e-17	-2.2617963e-17	3.1415927	3.1415927	1.5707964	-0.99069154	-0.0642062	0	-0.6919835	0.6748374	0	-0.001506539	0.9997332	0	0.66	100	2e-09	-100	700
0	-0.56139785	0.53678685	0	-2.0510436e-17	-2.2617967e-17	3.1415927	4.712389	1.5707964	-0.99069214	-0.064197086	0	-0.69199485	0.67482424	0	-0.0015064797	0.99973327	0	0.66	100	2e-09	-100	700
0	-0.07782162	0.33069456	0	-2.0508382e-17	-2.2617927e-17	4.712389	0	1.5707964	-0.083617955	-0.98948616	0	-0.14767505	0.9818384	0	-0.0021718713	0.99973154	0	0.66	100	2e-09	-100	700
0	-0.07779617	0.33069542	0	-2.050838e-17	-2.2617927e-17	4.712389	1.5707964	1.5707964	-0.083580025	-0.9894893	0	-0.1476365	0.9818438	0	-0.0021719604	0.99973154	0	0.66	100	2e-09	-100	700
0	-0.078022175	0.33069864	0	-2.0508382e-17	-2.2617927e-17	4.712389	3.1415927	1.5707964	-0.08405339	-0.9894503	0	-0.14784147	0.9818147	0	-0.0021716563	0.99973154	0	0.66	100	2e-09	-100	700
0	-0.07817382	0.3307008	0	-2.050838e-17	-2.2617927e-17	4.712389	4.712389	1.5707964	-0.08436979	-0.989424	0	-0.14798023	0.9817949	0	-0.002171448	0.9997316	0	0.66	100	2e-09	-100	700
0	0.3332655	0.6209882	0	-2.3509997e-17	-2.5846838e-17	0	0	1.5707964	0.9846562	-0.12742026	0	0.017744904	0.990739	0	-0.0026046052	0.9996456	0	0.66	100	2e-09	-100	800
0	0.33326352	0.62097895	0	-2.3509997e-17	-2.5846835e-17	0	1.5707964	1.5707964	0.98465276	-0.12744792	0	0.01774233	0.9907392	0	-0.0026045819	0.9996457	0	0.66	100	2e-09	-100	800
0	0.33329263	0.6208759	0	-2.3509997e-17	-2.5846838e-17	0	3.1415927	1.5707964	0.98461413	-0.12775427	0	0.017868467	0.9907363	0	-0.0026047318	0.9996456	0	0.66	100	2e-09	-100	800
0	0.3332341	0.6209549	0	-2.3509997e-17	-2.5846835e-17	0	4.712389	1.5707964	0.98464346	-0.12752214	0	0.017663172	0.99074125	0	-0.002604327	0.99964565	0	0.66	100	2e-09	-100	800
0	-0.098453395	0.98724556	0	-2.3498085e-17	-2.5846779e-17	1.5707964	0	1.5707964	-0.1181297	0.9856338	0	-0.17383696	0.97645974	0	-0.003393525	0.9996433	0	0.66	100	2e-09	-100	800
0	-0.098462254	0.98724425	0	-2.3498085e-17	-2.5846779e-17	1.5707964	1.5707964	1.5707964	-0.118139945	0.98563266	0	-0.17385335	0.97645706	0	-0.003393481	0.9996434	0	0.66	100	2e-09	-100	800
0	-0.09880407	0.98719996	0	-2.3498085e-17	-2.5846779e-17	1.5707964	3.1415927	1.5707964	-0.11888964	0.9855454	0	-0.17412956	0.9764113	0	-0.0033930324	0.9996433	0	0.66	100	2e-09	-100	800
0	-0.098809406	0.98719925	0	-2.3498085e-17	-2.5846777e-17	1.5707964	4.712389	1.5707964	-0.11890097	0.9855441	0	-0.17413422	0.97641045	0	-0.003393025	0.9996434	0	0.66	100	2e-09	-100	800
0	-0.44467807	0.6109248	0	-2.357064e-17	-2.5846793e-17	3.1415927	0	1.5707964	-0.98783386	-0.09975173	0	-0.34354177	0.93288213	0	-0.0026586622	0.99964404	0	0.66	100	2e-09	-100	800
