# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	roundness ()	size (m)	Cell_size (m)	var1-d (nm)	var2-s (nm)
0	-0.64665914	0.4490866	0	-2.3383104e-17	-2.584806e-17	3.1415927	3.1415927	1.5707964	-0.9913613	0.056729186	0	-0.9495645	0.29083773	0	0.0009486361	0.99969304	0	0.66	100	2e-09	-100	-50
0	-0.32092154	0.07392914	0	-2.3276558e-17	-2.5847101e-17	3.1415927	4.712389	1.5707964	-0.96996355	0.21340172	0	0.011064147	-0.9912702	0	-0.0038653074	0.99965584	0	0.66	100	2e-09	-100	-50
0	0.32298213	0.1377876	0	-2.3366755e-17	-2.5847219e-17	4.712389	0	1.5707964	0.058382068	-0.9907998	0	0.9075197	0.4045022	0	0.003044556	0.99966055	0	0.66	100	2e-09	-100	-50
0	0.006984169	0.33226785	0	-2.3401843e-17	-2.5847334e-17	4.712389	1.5707964	1.5707964	-0.14838848	-0.98189086	0	0.16426326	0.97902936	0	0.0050777346	0.99966484	0	0.66	100	2e-09	-100	-50
0	-0.3353207	0.66323435	0	-2.3446277e-17	-2.5848e-17	4.712389	3.1415927	1.5707964	-0.9930112	-0.002054807	0	-0.015750617	0.9920671	0	0.0027996048	0.9996906	0	0.66	100	2e-09	-100	-50
0	0.3229565	0.13781416	0	-2.3366759e-17	-2.5847222e-17	4.712389	4.712389	1.5707964	0.05834127	-0.99080217	0	0.9074834	0.40458426	0	0.0030448479	0.9996604	0	0.66	100	2e-09	-100	-50
0	0.649087	0.43835992	0	-2.3435001e-17	-2.5847424e-17	0	0	1.5707964	0.99168545	0.040605832	0	0.9552166	0.2748056	0	0.00035903425	0.9996685	0	0.66	100	2e-09	-100	-40
0	0.4969378	0.611991	0	-2.3411966e-17	-2.584747e-17	0	1.5707964	1.5707964	0.9922021	-0.026301593	0	0.49581042	0.8626047	0	0.0028009648	0.99967	0	0.66	100	2e-09	-100	-40
0	0.4969478	0.61198646	0	-2.3411968e-17	-2.584747e-17	0	3.1415927	1.5707964	0.9922022	-0.026298346	0	0.49584043	0.8625875	0	0.0028008565	0.99967	0	0.66	100	2e-09	-100	-40
0	0.64907193	0.438418	0	-2.3434998e-17	-2.5847424e-17	0	4.712389	1.5707964	0.9916851	0.04061669	0	0.955171	0.27496886	0	0.00035961156	0.9996683	0	0.66	100	2e-09	-100	-40
0	0.3546307	0.74339044	0	-2.3414752e-17	-2.5847654e-17	1.5707964	0	1.5707964	0.1022906	0.98758817	0	0.9635457	0.24290574	0	-0.0019441948	0.99967724	0	0.66	100	2e-09	-100	-40
