# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	roundness ()	size (m)	Cell_size (m)	var2-s (nm)	var1-d (nm)
0	-0.5642577	0.53548586	0	-2.3477386e-17	-2.5847344e-17	1.5707964	3.1415927	1.5707964	-0.9909837	-0.059522323	0	-0.70135844	0.6663148	0	-0.0004308042	0.99966526	0	0.66	100	2e-09	20	-110
0	-0.56425905	0.5354848	0	-2.3477386e-17	-2.5847344e-17	1.5707964	4.712389	1.5707964	-0.9909838	-0.059521273	0	-0.70136243	0.66631037	0	-0.00043078756	0.9996652	0	0.66	100	2e-09	20	-110
0	-0.43437138	0.61479867	0	-2.347901e-17	-2.5847363e-17	3.1415927	0	1.5707964	-0.98796815	-0.09837776	0	-0.31375265	0.94310766	0	-0.0013934013	0.999666	0	0.66	100	2e-09	20	-110
0	-0.43436587	0.6148164	0	-2.347901e-17	-2.5847363e-17	3.1415927	1.5707964	1.5707964	-0.9879726	-0.09833107	0	-0.3137316	0.94311464	0	-0.0013934787	0.9996659	0	0.66	100	2e-09	20	-110
0	-0.5642529	0.53548956	0	-2.3477384e-17	-2.5847344e-17	3.1415927	3.1415927	1.5707964	-0.9909835	-0.059526287	0	-0.7013443	0.66632986	0	-0.00043086233	0.9996652	0	0.66	100	2e-09	20	-110
0	-0.5639199	0.5357241	0	-2.3477384e-17	-2.5847343e-17	3.1415927	4.712389	1.5707964	-0.99096286	-0.05987844	0	-0.7003617	0.66738546	0	-0.00043484874	0.99966514	0	0.66	100	2e-09	20	-110
0	-0.062180214	0.3322902	0	-2.3477058e-17	-2.584736e-17	4.712389	0	1.5707964	-0.07753178	-0.98997307	0	-0.108101875	0.9871778	0	-0.0009070059	0.999666	0	0.66	100	2e-09	20	-110
0	-0.062186	0.3322903	0	-2.3477058e-17	-2.5847363e-17	4.712389	1.5707964	1.5707964	-0.07754318	-0.98997223	0	-0.10810782	0.9871772	0	-0.00090699946	0.999666	0	0.66	100	2e-09	20	-110
0	-0.062420394	0.3322941	0	-2.3477058e-17	-2.5847363e-17	4.712389	3.1415927	1.5707964	-0.078013785	-0.9899363	0	-0.10834065	0.9871526	0	-0.0009067343	0.9996658	0	0.66	100	2e-09	20	-110
0	-0.06238378	0.3322935	0	-2.3477058e-17	-2.5847363e-17	4.712389	4.712389	1.5707964	-0.07794075	-0.98994184	0	-0.108303815	0.9871565	0	-0.0009067768	0.9996659	0	0.66	100	2e-09	20	-110
0	0.6300974	0.46105146	0	-2.3359964e-17	-2.5847788e-17	0	0	1.5707964	0.9918998	-0.04006955	0	0.90028685	0.4235416	0	-0.0018946033	0.9996824	0	0.66	100	2e-09	20	-112
0	0.36239943	0.62266517	0	-2.341919e-17	-2.5847445e-17	0	1.5707964	1.5707964	0.9857092	-0.1187805	0	0.1027362	0.9871071	0	-0.0012470075	0.9996691	0	0.66	100	2e-09	20	-112
0	0.36231706	0.62252325	0	-2.341919e-17	-2.5847445e-17	0	3.1415927	1.5707964	0.985657	-0.119226605	0	0.10254062	0.9871272	0	-0.0012463973	0.9996691	0	0.66	100	2e-09	20	-112
0	0.41244394	0.054464743	0	-2.3161282e-17	-2.5847925e-17	0	4.712389	1.5707964	0.98495704	0.124601714	0	0.25092465	-0.9608952	0	0.0014502206	0.9996878	0	0.66	100	2e-09	20	-112
0	0.38254908	0.77623594	0	-2.3290116e-17	-2.5847801e-17	1.5707964	0	1.5707964	0.22458503	0.96762824	0	0.9258456	0.3613966	0	-0.0027833967	0.9996827	0	0.66	100	2e-09	20	-112
0	-0.07020701	0.9911521	0	-2.3400673e-17	-2.5847424e-17	1.5707964	1.5707964	1.5707964	-0.0945438	0.9880958	0	-0.11412899	0.98569214	0	-0.0019482428	0.99966824	0	0.66	100	2e-09	20	-112
0	-0.56670785	0.5336998	0	-2.3466108e-17	-2.5847396e-17	1.5707964	3.1415927	1.5707964	-0.9910853	-0.057769187	0	-0.7087324	0.65920144	0	-0.00030567573	0.99966717	0	0.66	100	2e-09	20	-112
0	-0.56675524	0.533571	0	-2.3466105e-17	-2.5847396e-17	1.5707964	4.712389	1.5707964	-0.9910724	-0.05800013	0	-0.70888835	0.659046	0	-0.00030486917	0.99966705	0	0.66	100	2e-09	20	-112
0	-0.43312958	0.615303	0	-2.3467526e-17	-2.5847414e-17	3.1415927	0	1.5707964	-0.98800147	-0.09803262	0	-0.3101365	0.9442737	0	-0.0012507316	0.99966794	0	0.66	100	2e-09	20	-112
0	-0.43312576	0.6153104	0	-2.3467526e-17	-2.5847414e-17	3.1415927	1.5707964	1.5707964	-0.98800313	-0.09801484	0	-0.31012332	0.944278	0	-0.0012507709	0.99966794	0	0.66	100	2e-09	20	-112
0	-0.56674826	0.53357613	0	-2.3466106e-17	-2.5847396e-17	3.1415927	3.1415927	1.5707964	-0.99107194	-0.058006503	0	-0.70886767	0.6590678	0	-0.00030495058	0.9996671	0	0.66	100	2e-09	20	-112
0	-0.5667433	0.5335799	0	-2.3466106e-17	-2.5847396e-17	3.1415927	4.712389	1.5707964	-0.9910718	-0.058010742	0	-0.70885307	0.65908325	0	-0.00030500776	0.9996671	0	0.66	100	2e-09	20	-112
0	-0.059082434	0.332489	0	-2.3466049e-17	-2.5847409e-17	4.712389	0	1.5707964	-0.07541183	-0.9901336	0	-0.101065025	0.98793286	0	-0.0007704665	0.9996679	0	0.66	100	2e-09	20	-112
0	-0.058884226	0.33248582	0	-2.3466052e-17	-2.5847409e-17	4.712389	1.5707964	1.5707964	-0.075015925	-0.99016297	0	-0.100866094	0.98795253	0	-0.00077068066	0.9996679	0	0.66	100	2e-09	20	-112
0	-0.058890063	0.332486	0	-2.3466052e-17	-2.5847409e-17	4.712389	3.1415927	1.5707964	-0.07502977	-0.990162	0	-0.100869745	0.98795223	0	-0.00077067997	0.9996679	0	0.66	100	2e-09	20	-112
0	-0.05908329	0.33248907	0	-2.3466052e-17	-2.5847409e-17	4.712389	4.712389	1.5707964	-0.07541452	-0.99013346	0	-0.1010649	0.9879329	0	-0.0007704676	0.9996679	0	0.66	100	2e-09	20	-112
0	0.63854176	0.44368964	0	-2.3359511e-17	-2.5847808e-17	0	0	1.5707964	0.9921614	-0.03272366	0	0.92518187	0.36410937	0	-0.0017178451	0.9996832	0	0.66	100	2e-09	20	-114
0	0.36595488	0.62273043	0	-2.3410601e-17	-2.5847483e-17	0	1.5707964	1.5707964	0.9858503	-0.117573485	0	0.113145076	0.98609394	0	-0.0011306268	0.99967057	0	0.66	100	2e-09	20	-114
