# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	island1_angle (rad)	island2_angle (rad)	roundness ()	size (m)	islands_distance (m)	islands_angle (rad)
0	0.6404479	-0.37847337	0	-3.4028273e-18	-5.120553e-18	0.19634955	5.006913	0.66	1e-07	1.28e-07	0
0	0.6852334	-0.36259145	0	-3.4058194e-18	-5.1218515e-18	0.19634955	5.105088	0.66	1e-07	1.28e-07	0
0	0.7293549	-0.34201542	0	-3.4084087e-18	-5.123194e-18	0.19634955	5.203263	0.66	1e-07	1.28e-07	0
0	0.77232873	-0.31651235	0	-3.411242e-18	-5.124345e-18	0.19634955	5.3014374	0.66	1e-07	1.28e-07	0
0	0.81332505	-0.28607315	0	-3.414965e-18	-5.124974e-18	0.19634955	5.3996124	0.66	1e-07	1.28e-07	0
0	0.8512106	-0.25115967	0	-3.420016e-18	-5.12482e-18	0.19634955	5.497787	0.66	1e-07	1.28e-07	0
0	0.8848822	-0.21273908	0	-3.4264427e-18	-5.123911e-18	0.19634955	5.595962	0.66	1e-07	1.28e-07	0
0	0.91366416	-0.1719744	0	-3.4338575e-18	-5.1225765e-18	0.19634955	5.6941366	0.66	1e-07	1.28e-07	0
0	0.937419	-0.12983884	0	-3.4415919e-18	-5.1212183e-18	0.19634955	5.7923117	0.66	1e-07	1.28e-07	0
0	0.956353	-0.08694497	0	-3.4488994e-18	-5.1200937e-18	0.19634955	5.8904862	0.66	1e-07	1.28e-07	0
0	0.9707754	-0.04361258	0	-3.45512e-18	-5.1192823e-18	0.19634955	5.988661	0.66	1e-07	1.28e-07	0
0	0.9809552	5.4439404e-09	0	-3.459738e-18	-5.118746e-18	0.19634955	6.086836	0.66	1e-07	1.28e-07	0
0	0.9870774	0.04379953	0	-3.4624045e-18	-5.1184117e-18	0.19634955	6.1850104	0.66	1e-07	1.28e-07	0
0	0.989245	0.087708026	0	-3.4629155e-18	-5.118218e-18	0.19634955	6.2831855	0.66	1e-07	1.28e-07	0
0	0.9792882	0.13136724	0	-3.4576753e-18	-5.118624e-18	0.2945243	0	0.66	1e-07	1.28e-07	0
0	0.9776313	0.17535202	0	-3.455676e-18	-5.118494e-18	0.2945243	0.09817477	0.66	1e-07	1.28e-07	0
0	0.972009	0.21930562	0	-3.4515377e-18	-5.118522e-18	0.2945243	0.19634955	0.66	1e-07	1.28e-07	0
0	0.9623173	0.26315156	0	-3.4454639e-18	-5.1187822e-18	0.2945243	0.2945243	0.66	1e-07	1.28e-07	0
0	0.94836813	0.30680156	0	-3.4378104e-18	-5.119362e-18	0.2945243	0.3926991	0.66	1e-07	1.28e-07	0
0	0.92988443	0.35011053	0	-3.429097e-18	-5.120315e-18	0.2945243	0.49087384	0.66	1e-07	1.28e-07	0
0	0.9065392	0.392783	0	-3.4199983e-18	-5.1215814e-18	0.2945243	0.5890486	0.66	1e-07	1.28e-07	0
0	0.87809867	0.43421328	0	-3.4112823e-18	-5.1229057e-18	0.2945243	0.6872234	0.66	1e-07	1.28e-07	0
0	0.84466296	0.47342843	0	-3.4036507e-18	-5.1238644e-18	0.2945243	0.7853982	0.66	1e-07	1.28e-07	0
0	0.8068811	0.50923216	0	-3.39753e-18	-5.1240878e-18	0.2945243	0.88357294	0.66	1e-07	1.28e-07	0
0	0.7658677	0.5405893	0	-3.392901e-18	-5.1235054e-18	0.2945243	0.9817477	0.66	1e-07	1.28e-07	0
0	0.7227879	0.5669872	0	-3.3893329e-18	-5.1223705e-18	0.2945243	1.0799224	0.66	1e-07	1.28e-07	0
0	0.6785085	0.5884057	0	-3.3861772e-18	-5.12103e-18	0.2945243	1.1780972	0.66	1e-07	1.28e-07	0
0	0.63352776	0.6050794	0	-3.382771e-18	-5.1197405e-18	0.2945243	1.276272	0.66	1e-07	1.28e-07	0
0	0.58809817	0.6172751	0	-3.378566e-18	-5.1186284e-18	0.2945243	1.3744467	0.66	1e-07	1.28e-07	0
0	0.5423466	0.6251975	0	-3.3731799e-18	-5.11774e-18	0.2945243	1.4726216	0.66	1e-07	1.28e-07	0
0	0.49636123	0.6289598	0	-3.3663922e-18	-5.1170956e-18	0.2945243	1.5707964	0.66	1e-07	1.28e-07	0
