# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	island1_magAngle (rad)	island2_magAngle (rad)	roundness ()	size (m)	islands_distance (m)	islands_angle (rad)	Cell_size (m)
0	0.060653668	-0.18910083	0	-3.8251334e-18	-5.7872666e-18	0.09817477	3.6324666	0.81	1e-07	1.28e-07	0	4e-09
0	0.08760084	-0.23145755	0	-3.831291e-18	-5.7869556e-18	0.09817477	3.7306414	0.81	1e-07	1.28e-07	0	4e-09
0	0.118723325	-0.2708782	0	-3.838423e-18	-5.786606e-18	0.09817477	3.828816	0.81	1e-07	1.28e-07	0	4e-09
0	0.15363646	-0.30692512	0	-3.846462e-18	-5.7862293e-18	0.09817477	3.9269907	0.81	1e-07	1.28e-07	0	4e-09
0	0.19190125	-0.33921498	0	-3.8553073e-18	-5.7858484e-18	0.09817477	4.0251656	0.81	1e-07	1.28e-07	0	4e-09
0	0.23304193	-0.36743274	0	-3.8648265e-18	-5.785494e-18	0.09817477	4.12334	0.81	1e-07	1.28e-07	0	4e-09
0	0.27656576	-0.3913388	0	-3.8748622e-18	-5.785202e-18	0.09817477	4.221515	0.81	1e-07	1.28e-07	0	4e-09
0	0.321984	-0.4107646	0	-3.8852417e-18	-5.785003e-18	0.09817477	4.3196898	0.81	1e-07	1.28e-07	0	4e-09
0	0.36882567	-0.4256049	0	-3.895792e-18	-5.784921e-18	0.09817477	4.417865	0.81	1e-07	1.28e-07	0	4e-09
0	0.41664362	-0.4358038	0	-3.906355e-18	-5.7849658e-18	0.09817477	4.5160394	0.81	1e-07	1.28e-07	0	4e-09
0	0.46501526	-0.4413419	0	-3.9167957e-18	-5.785138e-18	0.09817477	4.6142144	0.81	1e-07	1.28e-07	0	4e-09
0	0.5135381	-0.44222528	0	-3.927007e-18	-5.7854207e-18	0.09817477	4.712389	0.81	1e-07	1.28e-07	0	4e-09
0	0.56181836	-0.43847975	0	-3.936922e-18	-5.7857892e-18	0.09817477	4.8105636	0.81	1e-07	1.28e-07	0	4e-09
0	0.6094584	-0.43015233	0	-3.946505e-18	-5.7862107e-18	0.09817477	4.9087386	0.81	1e-07	1.28e-07	0	4e-09
0	0.6560516	-0.41731444	0	-3.955749e-18	-5.7866445e-18	0.09817477	5.006913	0.81	1e-07	1.28e-07	0	4e-09
0	0.7011753	-0.40007433	0	-3.9646605e-18	-5.787055e-18	0.09817477	5.105088	0.81	1e-07	1.28e-07	0	4e-09
0	0.744393	-0.3785891	0	-3.9732537e-18	-5.7874084e-18	0.09817477	5.203263	0.81	1e-07	1.28e-07	0	4e-09
0	0.78526634	-0.35307366	0	-3.9815292e-18	-5.7876827e-18	0.09817477	5.3014374	0.81	1e-07	1.28e-07	0	4e-09
0	0.82337207	-0.32380265	0	-3.9894673e-18	-5.787863e-18	0.09817477	5.3996124	0.81	1e-07	1.28e-07	0	4e-09
0	0.85831934	-0.2911098	0	-3.9970165e-18	-5.7879507e-18	0.09817477	5.497787	0.81	1e-07	1.28e-07	0	4e-09
0	0.8897678	-0.25537267	0	-4.0040943e-18	-5.7879565e-18	0.09817477	5.595962	0.81	1e-07	1.28e-07	0	4e-09
0	0.91743493	-0.21700728	0	-4.010587e-18	-5.7879e-18	0.09817477	5.6941366	0.81	1e-07	1.28e-07	0	4e-09
0	0.9411106	-0.17642953	0	-4.016357e-18	-5.7878034e-18	0.09817477	5.7923117	0.81	1e-07	1.28e-07	0	4e-09
0	0.9606434	-0.13405481	0	-4.02126e-18	-5.787689e-18	0.09817477	5.8904862	0.81	1e-07	1.28e-07	0	4e-09
0	0.9759358	-0.09028044	0	-4.02515e-18	-5.7875726e-18	0.09817477	5.988661	0.81	1e-07	1.28e-07	0	4e-09
0	0.9869298	-0.045479264	0	-4.027901e-18	-5.787468e-18	0.09817477	6.086836	0.81	1e-07	1.28e-07	0	4e-09
0	0.99359447	-7.8535367e-10	0	-4.029415e-18	-5.787386e-18	0.09817477	6.1850104	0.81	1e-07	1.28e-07	0	4e-09
0	0.99591523	0.045827415	0	-4.029631e-18	-5.787332e-18	0.09817477	6.2831855	0.81	1e-07	1.28e-07	0	4e-09
0	0.98939794	0.091335684	0	-4.0276698e-18	-5.7873754e-18	0.19634955	0	0.81	1e-07	1.28e-07	0	4e-09
0	0.98750764	0.13724929	0	-4.026131e-18	-5.7873133e-18	0.19634955	0.09817477	0.81	1e-07	1.28e-07	0	4e-09
0	0.98125637	0.18290055	0	-4.0233176e-18	-5.7872897e-18	0.19634955	0.19634955	0.81	1e-07	1.28e-07	0	4e-09
0	0.9706502	0.22795834	0	-4.0193024e-18	-5.787303e-18	0.19634955	0.2945243	0.81	1e-07	1.28e-07	0	4e-09
0	0.95571125	0.27207115	0	-4.0141963e-18	-5.7873497e-18	0.19634955	0.3926991	0.81	1e-07	1.28e-07	0	4e-09
0	0.9364886	0.31486103	0	-4.008139e-18	-5.7874188e-18	0.19634955	0.49087384	0.81	1e-07	1.28e-07	0	4e-09
0	0.9130718	0.3559251	0	-4.0012844e-18	-5.7874924e-18	0.19634955	0.5890486	0.81	1e-07	1.28e-07	0	4e-09
0	0.885605	0.39483804	0	-3.9937926e-18	-5.7875487e-18	0.19634955	0.6872234	0.81	1e-07	1.28e-07	0	4e-09
0	0.8542968	0.43116686	0	-3.9858107e-18	-5.7875615e-18	0.19634955	0.7853982	0.81	1e-07	1.28e-07	0	4e-09
0	0.8194259	0.46448728	0	-3.97746e-18	-5.7875065e-18	0.19634955	0.88357294	0.81	1e-07	1.28e-07	0	4e-09
0	0.7813364	0.49440458	0	-3.968832e-18	-5.7873696e-18	0.19634955	0.9817477	0.81	1e-07	1.28e-07	0	4e-09
0	0.7404251	0.52057135	0	-3.959981e-18	-5.7871475e-18	0.19634955	1.0799224	0.81	1e-07	1.28e-07	0	4e-09
0	0.697123	0.54270154	0	-3.950929e-18	-5.7868505e-18	0.19634955	1.1780972	0.81	1e-07	1.28e-07	0	4e-09
0	0.6518748	0.5605731	0	-3.941673e-18	-5.786503e-18	0.19634955	1.276272	0.81	1e-07	1.28e-07	0	4e-09
0	0.6051245	0.57402253	0	-3.9322003e-18	-5.78614e-18	0.19634955	1.3744467	0.81	1e-07	1.28e-07	0	4e-09
0	0.5573005	0.58293784	0	-3.9224996e-18	-5.7858004e-18	0.19634955	1.4726216	0.81	1e-07	1.28e-07	0	4e-09
0	0.50881463	0.5872445	0	-3.9125788e-18	-5.7855237e-18	0.19634955	1.5707964	0.81	1e-07	1.28e-07	0	4e-09
0	0.46006623	0.5868939	0	-3.9024715e-18	-5.785344e-18	0.19634955	1.6689711	0.81	1e-07	1.28e-07	0	4e-09
0	0.41145116	0.5818579	0	-3.8922483e-18	-5.785287e-18	0.19634955	1.7671459	0.81	1e-07	1.28e-07	0	4e-09
0	0.36337516	0.57212657	0	-3.882016e-18	-5.7853645e-18	0.19634955	1.8653207	0.81	1e-07	1.28e-07	0	4e-09
0	0.31626308	0.5577162	0	-3.871913e-18	-5.785575e-18	0.19634955	1.9634954	0.81	1e-07	1.28e-07	0	4e-09
0	0.27056578	0.53867775	0	-3.862103e-18	-5.785901e-18	0.19634955	2.06167	0.81	1e-07	1.28e-07	0	4e-09
0	0.22675997	0.51511264	0	-3.8527645e-18	-5.7863116e-18	0.19634955	2.1598449	0.81	1e-07	1.28e-07	0	4e-09
0	0.18534085	0.48718417	0	-3.844072e-18	-5.7867666e-18	0.19634955	2.2580197	0.81	1e-07	1.28e-07	0	4e-09
0	0.14680994	0.45513052	0	-3.8361907e-18	-5.7872223e-18	0.19634955	2.3561945	0.81	1e-07	1.28e-07	0	4e-09
0	0.11165101	0.41926578	0	-3.8292507e-18	-5.7876363e-18	0.19634955	2.4543693	0.81	1e-07	1.28e-07	0	4e-09
0	0.08031477	0.3799769	0	-3.823355e-18	-5.7879755e-18	0.19634955	2.552544	0.81	1e-07	1.28e-07	0	4e-09
0	0.053192537	0.3377045	0	-3.818562e-18	-5.7882232e-18	0.19634955	2.6507187	0.81	1e-07	1.28e-07	0	4e-09
0	0.030609788	0.29293376	0	-3.8148945e-18	-5.7883705e-18	0.19634955	2.7488935	0.81	1e-07	1.28e-07	0	4e-09
0	0.012818135	0.2461668	0	-3.8123476e-18	-5.788423e-18	0.19634955	2.8470683	0.81	1e-07	1.28e-07	0	4e-09
0	3.2894396e-09	0.19791284	0	-3.8108943e-18	-5.788391e-18	0.19634955	2.9452431	0.81	1e-07	1.28e-07	0	4e-09
0	-0.007727955	0.14867848	0	-3.8105e-18	-5.788292e-18	0.19634955	3.043418	0.81	1e-07	1.28e-07	0	4e-09
