# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	island1_angle (rad)	island2_angle (rad)	roundness ()	size (m)	islands_distance (m)	islands_angle (rad)	Cell_size (m)
0	0.9975486	-4.2094404e-09	0	-2.7199392e-18	-4.3541e-18	0	0	0.49	1e-07	3.36e-07	0	4e-09
0	0.4993522	0.49849087	0	-2.7173735e-18	-4.3540926e-18	1.5707964	0	0.49	1e-07	3.36e-07	0	4e-09
0	0.9975486	-3.3538536e-09	0	-2.719848e-18	-4.3541e-18	0	0	0.49	1e-07	3.4e-07	0	4e-09
0	0.49933138	0.49850088	0	-2.7173733e-18	-4.3540926e-18	1.5707964	0	0.49	1e-07	3.4e-07	0	4e-09
0	0.9975486	-3.3616845e-09	0	-2.719761e-18	-4.3541e-18	0	0	0.49	1e-07	3.44e-07	0	4e-09
0	0.49931183	0.49851027	0	-2.7173735e-18	-4.3540935e-18	1.5707964	0	0.49	1e-07	3.44e-07	0	4e-09
0	0.9975486	-2.6123461e-09	0	-2.7196774e-18	-4.3540997e-18	0	0	0.49	1e-07	3.48e-07	0	4e-09
0	0.4992931	0.4985193	0	-2.7173727e-18	-4.3540926e-18	1.5707964	0	0.49	1e-07	3.48e-07	0	4e-09
0	0.9975486	-4.575169e-09	0	-2.7195988e-18	-4.3540997e-18	0	0	0.49	1e-07	3.52e-07	0	4e-09
0	0.4992757	0.49852774	0	-2.7173727e-18	-4.354093e-18	1.5707964	0	0.49	1e-07	3.52e-07	0	4e-09
0	0.99754846	-1.8653763e-09	0	-2.719523e-18	-4.3540997e-18	0	0	0.49	1e-07	3.56e-07	0	4e-09
0	0.4992583	0.49853614	0	-2.7173729e-18	-4.354093e-18	1.5707964	0	0.49	1e-07	3.56e-07	0	4e-09
0	0.99754846	-3.7190386e-09	0	-2.719451e-18	-4.3540997e-18	0	0	0.49	1e-07	3.6e-07	0	4e-09
0	0.49924198	0.49854407	0	-2.717373e-18	-4.354094e-18	1.5707964	0	0.49	1e-07	3.6e-07	0	4e-09
0	0.99754846	-3.893256e-09	0	-2.7193821e-18	-4.3540997e-18	0	0	0.49	1e-07	3.64e-07	0	4e-09
0	0.49922654	0.4985515	0	-2.7173723e-18	-4.354093e-18	1.5707964	0	0.49	1e-07	3.64e-07	0	4e-09
0	0.99754846	-3.5074064e-09	0	-2.7193161e-18	-4.3540997e-18	0	0	0.49	1e-07	3.68e-07	0	4e-09
0	0.4992116	0.49855873	0	-2.7173729e-18	-4.354094e-18	1.5707964	0	0.49	1e-07	3.68e-07	0	4e-09
0	0.99754846	-3.999771e-09	0	-2.7192525e-18	-4.3540992e-18	0	0	0.49	1e-07	3.72e-07	0	4e-09
