# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	island1_angle (rad)	island2_angle (rad)	roundness ()	size (m)	islands_distance (m)	islands_angle (rad)	Cell_size (m)
0	0.9975486	-3.2009093e-09	0	-2.719678e-18	-4.3540997e-18	0	0	0.49	1e-07	3.48e-07	0	4e-09
0	0.4992933	0.4985192	0	-2.7173727e-18	-4.3540926e-18	1.5707964	0	0.49	1e-07	3.48e-07	0	4e-09
0	0.99754846	-4.71609e-09	0	-2.7195986e-18	-4.3540997e-18	0	0	0.49	1e-07	3.52e-07	0	4e-09
0	0.49927518	0.498528	0	-2.7173727e-18	-4.354093e-18	1.5707964	0	0.49	1e-07	3.52e-07	0	4e-09
0	0.99754846	-1.971891e-09	0	-2.7195231e-18	-4.3540997e-18	0	0	0.49	1e-07	3.56e-07	0	4e-09
0	0.49925828	0.49853614	0	-2.7173727e-18	-4.354093e-18	1.5707964	0	0.49	1e-07	3.56e-07	0	4e-09
0	0.99754846	-3.8792054e-09	0	-2.719451e-18	-4.3540997e-18	0	0	0.49	1e-07	3.6e-07	0	4e-09
0	0.49924132	0.49854445	0	-2.7173723e-18	-4.354094e-18	1.5707964	0	0.49	1e-07	3.6e-07	0	4e-09
0	0.99754846	-4.41354e-09	0	-2.719382e-18	-4.3540997e-18	0	0	0.49	1e-07	3.64e-07	0	4e-09
0	0.49922633	0.49855164	0	-2.7173725e-18	-4.3540935e-18	1.5707964	0	0.49	1e-07	3.64e-07	0	4e-09
0	0.99754846	-3.16805e-09	0	-2.7193157e-18	-4.3540997e-18	0	0	0.49	1e-07	3.68e-07	0	4e-09
0	0.49921146	0.49855882	0	-2.7173729e-18	-4.354094e-18	1.5707964	0	0.49	1e-07	3.68e-07	0	4e-09
0	0.99754846	-1.3341673e-09	0	-2.7192529e-18	-4.354099e-18	0	0	0.49	1e-07	3.72e-07	0	4e-09
0	0.4991967	0.49856594	0	-2.7173723e-18	-4.3540935e-18	1.5707964	0	0.49	1e-07	3.72e-07	0	4e-09
0	0.9975484	-3.954931e-09	0	-2.7191923e-18	-4.354099e-18	0	0	0.49	1e-07	3.76e-07	0	4e-09
0	0.49918362	0.4985723	0	-2.7173719e-18	-4.354093e-18	1.5707964	0	0.49	1e-07	3.76e-07	0	4e-09
0	0.9975483	-4.4067123e-09	0	-2.7191342e-18	-4.354099e-18	0	0	0.49	1e-07	3.8e-07	0	4e-09
0	0.49917057	0.4985786	0	-2.717372e-18	-4.354094e-18	1.5707964	0	0.49	1e-07	3.8e-07	0	4e-09
0	0.9975482	-4.4169117e-09	0	-2.7190787e-18	-4.354099e-18	0	0	0.49	1e-07	3.84e-07	0	4e-09
0	0.499158	0.49858478	0	-2.7173719e-18	-4.3540935e-18	1.5707964	0	0.49	1e-07	3.84e-07	0	4e-09
0	0.9975482	-4.115845e-09	0	-2.7190258e-18	-4.354099e-18	0	0	0.49	1e-07	3.88e-07	0	4e-09
0	0.49914622	0.4985905	0	-2.7173723e-18	-4.3540935e-18	1.5707964	0	0.49	1e-07	3.88e-07	0	4e-09
0	0.9975482	-4.640802e-09	0	-2.7189745e-18	-4.3540984e-18	0	0	0.49	1e-07	3.92e-07	0	4e-09
0	0.49913487	0.498596	0	-2.7173723e-18	-4.354094e-18	1.5707964	0	0.49	1e-07	3.92e-07	0	4e-09
0	0.9975483	-3.2910372e-09	0	-2.7189261e-18	-4.3540984e-18	0	0	0.49	1e-07	3.96e-07	0	4e-09
0	0.49912363	0.49860147	0	-2.7173717e-18	-4.3540943e-18	1.5707964	0	0.49	1e-07	3.96e-07	0	4e-09
0	0.9975482	-3.0761778e-09	0	-2.7188792e-18	-4.3540984e-18	0	0	0.49	1e-07	4e-07	0	4e-09
0	0.49911302	0.49860656	0	-2.717372e-18	-4.3540943e-18	1.5707964	0	0.49	1e-07	4e-07	0	4e-09
