# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Length (nm)
1.6501701041176934e-09	0.9740898	0.042303164	0.014611115	2.2739766e-18	-0	65
1.660136194960777e-09	0.9773919	0.033762474	0.0153996935	2.7143857e-18	-0	65
1.6700206259359613e-09	0.9800401	0.009946134	0.015619822	2.5928684e-18	-0	65
1.6801131387941543e-09	0.97927636	-0.011828113	0.015992263	2.1123982e-18	-0	65
1.6900153470244259e-09	0.9768506	-0.039914373	0.017234294	2.483842e-18	-0	65
1.7000288053501002e-09	0.9744926	-0.053856377	0.013589506	1.960253e-18	-0	65
1.7101848837246613e-09	0.9717032	-0.06591843	0.011997181	3.1019029e-18	-0	65
1.72019223134485e-09	0.97392565	-0.06248319	0.0027038201	1.4502064e-18	-0	65
1.7300187274134603e-09	0.97206545	-0.07024527	0.0049082725	1.6605089e-18	-0	65
1.740033909824518e-09	0.9726055	-0.08174537	0.003184783	2.2536133e-18	-0	65
1.7501675357480966e-09	0.9755427	-0.084655784	0.017955368	2.7255864e-18	-0	65
1.7601468322872242e-09	0.9739081	-0.11061941	0.017483465	2.5460812e-18	-0	65
1.7700914733510794e-09	0.9699776	-0.11678224	0.023494342	1.7518819e-18	-0	65
1.7801381118908014e-09	0.96514124	-0.14267522	0.019933535	3.4970553e-18	-0	65
1.7901426861019411e-09	0.9609183	-0.17108546	0.009018724	1.6259592e-18	-0	65
1.800173496024961e-09	0.9621214	-0.17673692	-0.002869562	1.8191732e-18	-0	65
1.8100524963295295e-09	0.9602847	-0.17452717	-0.0024200964	2.9272441e-18	-0	65
1.8200976338753614e-09	0.9561505	-0.17481388	-0.0071094	2.6280455e-18	-0	65
1.8301771947134462e-09	0.9610608	-0.15601276	-0.010094116	3.8863696e-18	-0	65
1.8401466419410118e-09	0.9658314	-0.15119323	0.00015033972	1.8782497e-18	-0	65
1.8500220050885184e-09	0.9709458	-0.14609763	-0.009996806	8.136928e-19	-0	65
1.8600685908256988e-09	0.9756973	-0.11204647	-0.013639764	1.7767575e-18	-0	65
1.870089470217515e-09	0.9769242	-0.1172248	-0.0033839752	2.6006581e-18	-0	65
1.8801691954298762e-09	0.9718905	-0.13148738	-0.0019452991	2.312196e-18	-0	65
1.8901849384273575e-09	0.9630873	-0.15502092	-0.0059256647	1.72599e-18	-0	65
1.9001060598075848e-09	0.96067554	-0.15968382	-0.00799161	3.8245055e-18	-0	65
1.910055816443497e-09	0.9672696	-0.1379938	-0.008716088	3.019331e-18	-0	65
1.920179033350238e-09	0.9719936	-0.12044878	-0.0083866045	2.2651026e-18	-0	65
1.9300770581883046e-09	0.9739072	-0.09531608	-0.019154206	1.3136008e-18	-0	65
1.9401472265127476e-09	0.9777957	-0.08209298	-0.025047777	2.5533465e-18	-0	65
1.9500675512380467e-09	0.97996825	-0.058500975	-0.011073526	2.3590087e-18	-0	65
1.960085518459547e-09	0.9799175	-0.046565384	-0.016435621	3.512832e-18	-0	65
1.9700700520476443e-09	0.9761706	-0.027412219	-0.008375064	2.1268154e-18	-0	65
1.980193783996201e-09	0.9727345	-0.018991658	-0.0047258916	1.8618599e-18	-0	65
1.9900840852528055e-09	0.9692966	-0.010671689	-0.0013401753	1.0819035e-18	-0	65
2.0000595542985455e-09	0.97333705	-0.0061074514	0.006391045	1.8962158e-18	-0	65
2.010179839776451e-09	0.97566575	-0.020401273	0.027623724	2.1202864e-18	-0	65
