# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Roundness ()	Size (nm)	Temp (K)	alpha ()	Cell_size (m)
1.3100028575860357e-09	0.51451635	0.8232215	-0.0041094925	5.3362662e-18	-0	0.49	100	300	0.009999999	2e-09
1.320046644641122e-09	0.5138277	0.8294271	-0.003965408	7.056508e-18	-0	0.49	100	300	0.009999999	2e-09
1.3300461493670445e-09	0.5127027	0.8323087	-0.0010819058	6.7318303e-18	-0	0.49	100	300	0.009999999	2e-09
1.3400350302980092e-09	0.5109015	0.8317748	-0.0017334534	7.002792e-18	-0	0.49	100	300	0.009999999	2e-09
1.350018550582306e-09	0.508097	0.8322477	-0.0058025634	7.037036e-18	-0	0.49	100	300	0.009999999	2e-09
1.3600489439080544e-09	0.501116	0.8338827	-0.009135768	5.840866e-18	-0	0.49	100	300	0.009999999	2e-09
1.3700400069665618e-09	0.483827	0.84219074	-0.015937416	6.3171643e-18	-0	0.49	100	300	0.009999999	2e-09
1.3800162224946188e-09	0.4653685	0.84913963	-0.01627967	6.5706356e-18	-0	0.49	100	300	0.009999999	2e-09
1.3900346615193627e-09	0.44867337	0.85588974	-0.010455316	6.0403102e-18	-0	0.49	100	300	0.009999999	2e-09
1.4000028031605121e-09	0.44126806	0.8626281	-0.0048016356	6.1593316e-18	-0	0.49	100	300	0.009999999	2e-09
1.4100085404000288e-09	0.44325018	0.86258787	-0.0023425296	7.1142496e-18	-0	0.49	100	300	0.009999999	2e-09
1.4200182483995177e-09	0.43742013	0.8666455	-0.0038015062	6.4146516e-18	-0	0.49	100	300	0.009999999	2e-09
1.4300508441352164e-09	0.4353819	0.8680536	-0.0044667013	6.0973745e-18	-0	0.49	100	300	0.009999999	2e-09
1.4400344579923436e-09	0.43491268	0.8719725	-0.0036184948	5.8477943e-18	-0	0.49	100	300	0.009999999	2e-09
1.4500141371513096e-09	0.42835456	0.87751883	-0.005604002	5.6090344e-18	-0	0.49	100	300	0.009999999	2e-09
1.4600143803382704e-09	0.4267669	0.878426	-0.004996223	7.060813e-18	-0	0.49	100	300	0.009999999	2e-09
1.470045001048385e-09	0.41424847	0.8831955	-0.008434434	6.0988366e-18	-0	0.49	100	300	0.009999999	2e-09
1.480022076839494e-09	0.40622222	0.8858009	-0.004505719	6.556801e-18	-0	0.49	100	300	0.009999999	2e-09
1.490018056426411e-09	0.40656686	0.88406837	-0.006084371	7.182692e-18	-0	0.49	100	300	0.009999999	2e-09
1.5000257858608355e-09	0.3974471	0.8868068	-0.007455134	6.322525e-18	-0	0.49	100	300	0.009999999	2e-09
